get,parameters.team,parameters.season,results,response.player.id,response.player.firstname,response.player.lastname,response.team.id,response.team.name,response.team.nickname,response.team.code,response.team.logo,response.game.id,response.points,response.pos,response.min,response.fgm,response.fga,response.fgp,response.ftm,response.fta,response.ftp,response.tpm,response.tpa,response.tpp,response.offReb,response.defReb,response.totReb,response.assists,response.pFouls,response.steals,response.turnovers,response.blocks,response.plusMinus,response.comment
players/statistics,1,2023,883,2569,Saddiq,Bey,1,Atlanta Hawks,Hawks,ATL,https://upload.wikimedia.org/wikipedia/fr/e/ee/Hawks_2016.png,12490,9,SF,22,3,7,42.9,3,4,75,0,3,0,2,4,6,0,2,2,2,0,+6,
,,,,2819,Jalen,Johnson,1,Atlanta Hawks,Hawks,ATL,https://upload.wikimedia.org/wikipedia/fr/e/ee/Hawks_2016.png,12490,7,SF,21,2,5,40,3,3,100,0,1,0,1,6,7,3,1,0,1,1,-1,
,,,,92,Clint,Capela,1,Atlanta Hawks,Hawks,ATL,https://upload.wikimedia.org/wikipedia/fr/e/ee/Hawks_2016.png,12490,7,C,15,2,3,66.7,3,4,75,0,0,0,2,8,10,0,2,0,0,1,+11,
,,,,1046,Trae,Young,1,Atlanta Hawks,Hawks,ATL,https://upload.wikimedia.org/wikipedia/fr/e/ee/Hawks_2016.png,12490,12,PG,16,2,8,25,6,6,100,2,7,28.6,0,2,2,5,0,3,4,0,+9,
,,,,382,Dejounte,Murray,1,Atlanta Hawks,Hawks,ATL,https://upload.wikimedia.org/wikipedia/fr/e/ee/Hawks_2016.png,12490,6,SG,17,2,7,28.6,0,0,0,2,4,50,1,1,2,3,0,1,2,0,+11,
,,,,1858,Bruno,Fernando,1,Atlanta Hawks,Hawks,ATL,https://upload.wikimedia.org/wikipedia/fr/e/ee/Hawks_2016.png,12490,2,PF,10,1,1,100,0,0,0,0,0,0,1,3,4,0,1,0,2,0,-1,
,,,,2629,Onyeka,Okongwu,1,Atlanta Hawks,Hawks,ATL,https://upload.wikimedia.org/wikipedia/fr/e/ee/Hawks_2016.png,12490,12,PF,19,5,7,71.4,0,0,0,2,3,66.7,1,1,2,0,1,0,2,0,-16,
,,,,3942,Miles,Norris,1,Atlanta Hawks,Hawks,ATL,https://upload.wikimedia.org/wikipedia/fr/e/ee/Hawks_2016.png,12490,0,F,4,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,+7,
,,,,3444,AJ,Griffin,1,Atlanta Hawks,Hawks,ATL,https://upload.wikimedia.org/wikipedia/fr/e/ee/Hawks_2016.png,12490,11,F,23,4,10,40,2,2,100,1,4,25,1,1,2,0,2,0,1,0,-14,
,,,,3939,Mouhamed,Gueye,1,Atlanta Hawks,Hawks,ATL,https://upload.wikimedia.org/wikipedia/fr/e/ee/Hawks_2016.png,12490,2,F,18,1,5,20,0,0,0,0,3,0,0,2,2,1,1,1,1,0,-2,
,,,,365,Patty,Mills,1,Atlanta Hawks,Hawks,ATL,https://upload.wikimedia.org/wikipedia/fr/e/ee/Hawks_2016.png,12490,3,PG,10,1,5,20,0,0,0,1,2,50,0,2,2,2,1,0,3,0,-15,
,,,,341,Wesley,Matthews,1,Atlanta Hawks,Hawks,ATL,https://upload.wikimedia.org/wikipedia/fr/e/ee/Hawks_2016.png,12490,2,SG,9,1,2,50,0,0,0,0,1,0,0,4,4,1,0,0,1,0,0,
,,,,2327,Garrison,Mathews,1,Atlanta Hawks,Hawks,ATL,https://upload.wikimedia.org/wikipedia/fr/e/ee/Hawks_2016.png,12490,5,SG,14,1,5,20,2,3,66.7,1,4,25,1,1,2,1,0,0,0,0,+6,
,,,,2589,Trent,Forrest,1,Atlanta Hawks,Hawks,ATL,https://upload.wikimedia.org/wikipedia/fr/e/ee/Hawks_2016.png,12490,13,G,14,5,6,83.3,3,3,100,0,1,0,0,2,2,3,0,2,1,0,+3,
,,,,3941,Seth,Lundy,1,Atlanta Hawks,Hawks,ATL,https://upload.wikimedia.org/wikipedia/fr/e/ee/Hawks_2016.png,12490,8,G,8,3,3,100,0,0,0,2,2,100,0,1,1,0,1,0,0,0,+10,
