get,parameters.team,parameters.season,results,response.player.id,response.player.firstname,response.player.lastname,response.team.id,response.team.name,response.team.nickname,response.team.code,response.team.logo,response.game.id,response.points,response.pos,response.min,response.fgm,response.fga,response.fgp,response.ftm,response.fta,response.ftp,response.tpm,response.tpa,response.tpp,response.offReb,response.defReb,response.totReb,response.assists,response.pFouls,response.steals,response.turnovers,response.blocks,response.plusMinus,response.comment
players/statistics,4,2023,895,940,Mikal,Bridges,4,Brooklyn Nets,Nets,BKN,https://upload.wikimedia.org/wikipedia/commons/thumb/4/44/Brooklyn_Nets_newlogo.svg/130px-Brooklyn_Nets_newlogo.svg.png,12488,8,SF,15,2,7,28.6,4,5,80,0,1,0,0,5,5,2,0,0,3,0,-11,
,,,,1854,Nic,Claxton,4,Brooklyn Nets,Nets,BKN,https://upload.wikimedia.org/wikipedia/commons/thumb/4/44/Brooklyn_Nets_newlogo.svg/130px-Brooklyn_Nets_newlogo.svg.png,12488,7,C,16,3,3,100,1,2,50,0,0,0,0,4,4,1,1,0,1,1,-4,
,,,,142,Spencer,Dinwiddie,4,Brooklyn Nets,Nets,BKN,https://upload.wikimedia.org/wikipedia/commons/thumb/4/44/Brooklyn_Nets_newlogo.svg/130px-Brooklyn_Nets_newlogo.svg.png,12488,12,PG,16,4,5,80,0,0,0,4,5,80,0,0,0,0,1,0,0,0,-10,
,,,,481,Ben,Simmons,4,Brooklyn Nets,Nets,BKN,https://upload.wikimedia.org/wikipedia/commons/thumb/4/44/Brooklyn_Nets_newlogo.svg/130px-Brooklyn_Nets_newlogo.svg.png,12488,10,PG,14,4,6,66.7,2,4,50,0,0,0,0,1,1,3,0,1,1,0,-7,
,,,,2855,Cam,Thomas,4,Brooklyn Nets,Nets,BKN,https://upload.wikimedia.org/wikipedia/commons/thumb/4/44/Brooklyn_Nets_newlogo.svg/130px-Brooklyn_Nets_newlogo.svg.png,12488,26,SG,22,9,14,64.3,4,4,100,4,7,57.1,0,2,2,2,2,0,1,0,-1,
,,,,175,Dorian,Finney-Smith,4,Brooklyn Nets,Nets,BKN,https://upload.wikimedia.org/wikipedia/commons/thumb/4/44/Brooklyn_Nets_newlogo.svg/130px-Brooklyn_Nets_newlogo.svg.png,12488,7,PF,20,2,5,40,2,2,100,1,4,25,1,1,2,2,0,1,2,0,+2,
,,,,851,Royce,O'Neale,4,Brooklyn Nets,Nets,BKN,https://upload.wikimedia.org/wikipedia/commons/thumb/4/44/Brooklyn_Nets_newlogo.svg/130px-Brooklyn_Nets_newlogo.svg.png,12488,6,PF,16,2,6,33.3,0,0,0,2,5,40,1,5,6,2,2,1,2,1,+5,
,,,,1847,Darius,Bazley,4,Brooklyn Nets,Nets,BKN,https://upload.wikimedia.org/wikipedia/commons/thumb/4/44/Brooklyn_Nets_newlogo.svg/130px-Brooklyn_Nets_newlogo.svg.png,12488,4,PF,18,2,5,40,0,0,0,0,2,0,0,4,4,1,1,2,5,1,-1,
,,,,2861,Trendon,Watford,4,Brooklyn Nets,Nets,BKN,https://upload.wikimedia.org/wikipedia/commons/thumb/4/44/Brooklyn_Nets_newlogo.svg/130px-Brooklyn_Nets_newlogo.svg.png,12488,10,PF,17,2,6,33.3,6,7,85.7,0,1,0,1,1,2,2,2,0,2,1,-1,
,,,,4041,Harry III,Giles,4,Brooklyn Nets,Nets,BKN,https://upload.wikimedia.org/wikipedia/commons/thumb/4/44/Brooklyn_Nets_newlogo.svg/130px-Brooklyn_Nets_newlogo.svg.png,12488,4,F,11,2,3,66.7,0,0,0,0,1,0,0,4,4,0,1,0,0,0,+2,
,,,,3946,Jalen,Wilson,4,Brooklyn Nets,Nets,BKN,https://upload.wikimedia.org/wikipedia/commons/thumb/4/44/Brooklyn_Nets_newlogo.svg/130px-Brooklyn_Nets_newlogo.svg.png,12488,1,F,13,0,2,0,1,2,50,0,1,0,0,1,1,1,1,0,0,0,+3,
,,,,3944,Noah,Clowney,4,Brooklyn Nets,Nets,BKN,https://upload.wikimedia.org/wikipedia/commons/thumb/4/44/Brooklyn_Nets_newlogo.svg/130px-Brooklyn_Nets_newlogo.svg.png,12488,5,F,16,2,2,100,0,0,0,1,1,100,4,4,8,0,4,0,2,0,+6,
,,,,2848,Day'Ron,Sharpe,4,Brooklyn Nets,Nets,BKN,https://upload.wikimedia.org/wikipedia/commons/thumb/4/44/Brooklyn_Nets_newlogo.svg/130px-Brooklyn_Nets_newlogo.svg.png,12488,0,C,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4,
,,,,876,Dennis,Smith Jr.,4,Brooklyn Nets,Nets,BKN,https://upload.wikimedia.org/wikipedia/commons/thumb/4/44/Brooklyn_Nets_newlogo.svg/130px-Brooklyn_Nets_newlogo.svg.png,12488,6,PG,14,2,6,33.3,2,2,100,0,1,0,0,1,1,2,1,2,0,0,+8,
,,,,2325,Armoni,Brooks,4,Brooklyn Nets,Nets,BKN,https://upload.wikimedia.org/wikipedia/commons/thumb/4/44/Brooklyn_Nets_newlogo.svg/130px-Brooklyn_Nets_newlogo.svg.png,12488,6,G,9,2,5,40,0,0,0,2,5,40,0,3,3,0,0,0,0,0,-6,
,,,,1038,Lonnie,Walker IV,4,Brooklyn Nets,Nets,BKN,https://upload.wikimedia.org/wikipedia/commons/thumb/4/44/Brooklyn_Nets_newlogo.svg/130px-Brooklyn_Nets_newlogo.svg.png,12488,14,G,20,5,12,41.7,3,4,75,1,5,20,0,1,1,1,1,2,0,0,+4,
,,,,4041,Harry III,Giles,4,Brooklyn Nets,Nets,BKN,https://upload.wikimedia.org/wikipedia/commons/thumb/4/44/Brooklyn_Nets_newlogo.svg/130px-Brooklyn_Nets_newlogo.svg.png,12504,16,F,21,8,10,80,0,1,0,0,0,0,6,4,10,0,4,1,1,0,+10,
