get,parameters.team,parameters.season,results,response.player.id,response.player.firstname,response.player.lastname,response.team.id,response.team.name,response.team.nickname,response.team.code,response.team.logo,response.game.id,response.points,response.pos,response.min,response.fgm,response.fga,response.fgp,response.ftm,response.fta,response.ftp,response.tpm,response.tpa,response.tpp,response.offReb,response.defReb,response.totReb,response.assists,response.pFouls,response.steals,response.turnovers,response.blocks,response.plusMinus,response.comment
players/statistics,5,2023,895,1897,P.J.,Washington,5,Charlotte Hornets,Hornets,CHA,https://upload.wikimedia.org/wikipedia/fr/thumb/f/f3/Hornets_de_Charlotte_logo.svg/1200px-Hornets_de_Charlotte_logo.svg.png,12491,10,PF,26,4,12,33.3,1,1,100,1,6,16.7,1,4,5,1,2,1,3,0,+11,
,,,,227,Gordon,Hayward,5,Charlotte Hornets,Hornets,CHA,https://upload.wikimedia.org/wikipedia/fr/thumb/f/f3/Hornets_de_Charlotte_logo.svg/1200px-Hornets_de_Charlotte_logo.svg.png,12491,15,SF,23,5,6,83.3,4,4,100,1,1,100,0,3,3,3,2,1,1,0,+12,
,,,,3506,Mark,Williams,5,Charlotte Hornets,Hornets,CHA,https://upload.wikimedia.org/wikipedia/fr/thumb/f/f3/Hornets_de_Charlotte_logo.svg/1200px-Hornets_de_Charlotte_logo.svg.png,12491,9,C,22,4,6,66.7,1,2,50,0,0,0,1,6,7,1,3,3,0,2,+16,
,,,,2566,LaMelo,Ball,5,Charlotte Hornets,Hornets,CHA,https://upload.wikimedia.org/wikipedia/fr/thumb/f/f3/Hornets_de_Charlotte_logo.svg/1200px-Hornets_de_Charlotte_logo.svg.png,12491,17,PG,22,5,13,38.5,5,6,83.3,2,7,28.6,0,2,2,7,2,0,1,0,+16,
,,,,458,Terry,Rozier,5,Charlotte Hornets,Hornets,CHA,https://upload.wikimedia.org/wikipedia/fr/thumb/f/f3/Hornets_de_Charlotte_logo.svg/1200px-Hornets_de_Charlotte_logo.svg.png,12491,13,SG,24,5,11,45.5,1,2,50,2,4,50,2,3,5,3,2,3,0,0,+8,
,,,,3950,Brandon,Miller,5,Charlotte Hornets,Hornets,CHA,https://upload.wikimedia.org/wikipedia/fr/thumb/f/f3/Hornets_de_Charlotte_logo.svg/1200px-Hornets_de_Charlotte_logo.svg.png,12491,8,F,22,3,9,33.3,2,2,100,0,4,0,1,2,3,3,1,1,3,0,-9,
,,,,2856,JT,Thor,5,Charlotte Hornets,Hornets,CHA,https://upload.wikimedia.org/wikipedia/fr/thumb/f/f3/Hornets_de_Charlotte_logo.svg/1200px-Hornets_de_Charlotte_logo.svg.png,12491,12,F,22,3,6,50,3,4,75,3,5,60,2,3,5,0,0,1,1,0,-15,
,,,,2639,Nick,Richards,5,Charlotte Hornets,Hornets,CHA,https://upload.wikimedia.org/wikipedia/fr/thumb/f/f3/Hornets_de_Charlotte_logo.svg/1200px-Hornets_de_Charlotte_logo.svg.png,12491,7,C,22,1,3,33.3,5,6,83.3,0,0,0,3,7,10,0,2,0,2,1,-9,
,,,,3949,Nathan,Mensah,5,Charlotte Hornets,Hornets,CHA,https://upload.wikimedia.org/wikipedia/fr/thumb/f/f3/Hornets_de_Charlotte_logo.svg/1200px-Hornets_de_Charlotte_logo.svg.png,12491,0,C,4,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,-11,
,,,,880,Edmond,Sumner,5,Charlotte Hornets,Hornets,CHA,https://upload.wikimedia.org/wikipedia/fr/thumb/f/f3/Hornets_de_Charlotte_logo.svg/1200px-Hornets_de_Charlotte_logo.svg.png,12491,4,PG,12,1,5,20,2,2,100,0,2,0,0,5,5,1,1,0,2,1,+7,
,,,,850,Frank,Ntilikina,5,Charlotte Hornets,Hornets,CHA,https://upload.wikimedia.org/wikipedia/fr/thumb/f/f3/Hornets_de_Charlotte_logo.svg/1200px-Hornets_de_Charlotte_logo.svg.png,12491,0,PG,9,0,4,0,0,0,0,0,3,0,0,0,0,0,1,0,1,0,-10,
,,,,254,RJ,Hunter,5,Charlotte Hornets,Hornets,CHA,https://upload.wikimedia.org/wikipedia/fr/thumb/f/f3/Hornets_de_Charlotte_logo.svg/1200px-Hornets_de_Charlotte_logo.svg.png,12491,3,G,7,1,7,14.3,0,0,0,1,4,25,0,1,1,0,0,0,0,0,-9,
,,,,4042,Nick Jr.,Smith,5,Charlotte Hornets,Hornets,CHA,https://upload.wikimedia.org/wikipedia/fr/thumb/f/f3/Hornets_de_Charlotte_logo.svg/1200px-Hornets_de_Charlotte_logo.svg.png,12491,11,G,20,4,10,40,3,4,75,0,2,0,3,2,5,0,1,0,2,0,-16,
,,,,3947,Amari,Bailey,5,Charlotte Hornets,Hornets,CHA,https://upload.wikimedia.org/wikipedia/fr/thumb/f/f3/Hornets_de_Charlotte_logo.svg/1200px-Hornets_de_Charlotte_logo.svg.png,12491,0,G,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,-11,
