get,parameters.team,parameters.season,results,response.player.id,response.player.firstname,response.player.lastname,response.team.id,response.team.name,response.team.nickname,response.team.code,response.team.logo,response.game.id,response.points,response.pos,response.min,response.fgm,response.fga,response.fgp,response.ftm,response.fta,response.ftp,response.tpm,response.tpa,response.tpp,response.offReb,response.defReb,response.totReb,response.assists,response.pFouls,response.steals,response.turnovers,response.blocks,response.plusMinus,response.comment
players/statistics,6,2023,928,2664,Patrick,Williams,6,Chicago Bulls,Bulls,CHI,https://upload.wikimedia.org/wikipedia/fr/thumb/d/d1/Bulls_de_Chicago_logo.svg/1200px-Bulls_de_Chicago_logo.svg.png,12480,13,PF,22,4,9,44.4,2,2,100,3,6,50,0,2,2,1,0,1,2,1,-4,
,,,,136,DeMar,DeRozan,6,Chicago Bulls,Bulls,CHI,https://upload.wikimedia.org/wikipedia/fr/thumb/d/d1/Bulls_de_Chicago_logo.svg/1200px-Bulls_de_Chicago_logo.svg.png,12480,7,SF,17,2,6,33.3,2,2,100,1,1,100,0,2,2,0,0,1,0,1,-1,
,,,,534,Nikola,Vucevic,6,Chicago Bulls,Bulls,CHI,https://upload.wikimedia.org/wikipedia/fr/thumb/d/d1/Bulls_de_Chicago_logo.svg/1200px-Bulls_de_Chicago_logo.svg.png,12480,4,C,17,1,3,33.3,2,2,100,0,1,0,0,4,4,1,1,0,2,0,-1,
,,,,1900,Coby,White,6,Chicago Bulls,Bulls,CHI,https://upload.wikimedia.org/wikipedia/fr/thumb/d/d1/Bulls_de_Chicago_logo.svg/1200px-Bulls_de_Chicago_logo.svg.png,12480,14,PG,23,6,10,60,0,0,0,2,5,40,1,5,6,6,1,2,2,0,+3,
,,,,308,Zach,LaVine,6,Chicago Bulls,Bulls,CHI,https://upload.wikimedia.org/wikipedia/fr/thumb/d/d1/Bulls_de_Chicago_logo.svg/1200px-Bulls_de_Chicago_logo.svg.png,12480,9,SG,17,4,7,57.1,0,0,0,1,3,33.3,0,2,2,3,0,1,1,0,-1,
,,,,2853,Terry,Taylor,6,Chicago Bulls,Bulls,CHI,https://upload.wikimedia.org/wikipedia/fr/thumb/d/d1/Bulls_de_Chicago_logo.svg/1200px-Bulls_de_Chicago_logo.svg.png,12480,2,F,9,1,2,50,0,0,0,0,0,0,2,2,4,2,3,0,2,0,-5,
,,,,3952,Henri,Drell,6,Chicago Bulls,Bulls,CHI,https://upload.wikimedia.org/wikipedia/fr/thumb/d/d1/Bulls_de_Chicago_logo.svg/1200px-Bulls_de_Chicago_logo.svg.png,12480,0,F,5,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,+3,
,,,,3461,Justin,Lewis,6,Chicago Bulls,Bulls,CHI,https://upload.wikimedia.org/wikipedia/fr/thumb/d/d1/Bulls_de_Chicago_logo.svg/1200px-Bulls_de_Chicago_logo.svg.png,12480,2,F,6,1,3,33.3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,-8,
,,,,3494,Dalen,Terry,6,Chicago Bulls,Bulls,CHI,https://upload.wikimedia.org/wikipedia/fr/thumb/d/d1/Bulls_de_Chicago_logo.svg/1200px-Bulls_de_Chicago_logo.svg.png,12480,2,F,11,1,5,20,0,0,0,0,1,0,1,1,2,2,3,1,1,0,-5,
,,,,3954,Julian,Phillips,6,Chicago Bulls,Bulls,CHI,https://upload.wikimedia.org/wikipedia/fr/thumb/d/d1/Bulls_de_Chicago_logo.svg/1200px-Bulls_de_Chicago_logo.svg.png,12480,2,F,10,1,4,25,0,0,0,0,1,0,0,1,1,0,1,1,0,2,-5,
,,,,765,Torrey,Craig,6,Chicago Bulls,Bulls,CHI,https://upload.wikimedia.org/wikipedia/fr/thumb/d/d1/Bulls_de_Chicago_logo.svg/1200px-Bulls_de_Chicago_logo.svg.png,12480,7,SF,19,3,9,33.3,0,0,0,1,3,33.3,3,1,4,1,2,2,0,0,+1,
,,,,3951,Onuralp,Bitim,6,Chicago Bulls,Bulls,CHI,https://upload.wikimedia.org/wikipedia/fr/thumb/d/d1/Bulls_de_Chicago_logo.svg/1200px-Bulls_de_Chicago_logo.svg.png,12480,6,SF,5,2,3,66.7,0,0,0,2,2,100,0,1,1,0,0,0,1,0,+3,
,,,,147,Andre,Drummond,6,Chicago Bulls,Bulls,CHI,https://upload.wikimedia.org/wikipedia/fr/thumb/d/d1/Bulls_de_Chicago_logo.svg/1200px-Bulls_de_Chicago_logo.svg.png,12480,8,C,14,3,8,37.5,2,2,100,0,0,0,3,6,9,0,2,0,2,0,0,
,,,,3955,Adama,Sanogo,6,Chicago Bulls,Bulls,CHI,https://upload.wikimedia.org/wikipedia/fr/thumb/d/d1/Bulls_de_Chicago_logo.svg/1200px-Bulls_de_Chicago_logo.svg.png,12480,4,C,8,2,5,40,0,0,0,0,0,0,3,1,4,1,1,1,0,0,+3,
,,,,949,Jevon,Carter,6,Chicago Bulls,Bulls,CHI,https://upload.wikimedia.org/wikipedia/fr/thumb/d/d1/Bulls_de_Chicago_logo.svg/1200px-Bulls_de_Chicago_logo.svg.png,12480,8,PG,16,3,7,42.9,1,1,100,1,4,25,0,2,2,2,0,0,0,0,0,
,,,,631,Alex,Caruso,6,Chicago Bulls,Bulls,CHI,https://upload.wikimedia.org/wikipedia/fr/thumb/d/d1/Bulls_de_Chicago_logo.svg/1200px-Bulls_de_Chicago_logo.svg.png,12480,0,SG,7,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,+2,
,,,,2802,Ayo,Dosunmu,6,Chicago Bulls,Bulls,CHI,https://upload.wikimedia.org/wikipedia/fr/thumb/d/d1/Bulls_de_Chicago_logo.svg/1200px-Bulls_de_Chicago_logo.svg.png,12480,8,SG,15,3,8,37.5,0,0,0,2,4,50,1,1,2,2,2,0,0,0,-1,
,,,,3953,Max,Heidegger,6,Chicago Bulls,Bulls,CHI,https://upload.wikimedia.org/wikipedia/fr/thumb/d/d1/Bulls_de_Chicago_logo.svg/1200px-Bulls_de_Chicago_logo.svg.png,12480,1,G,5,0,2,0,1,1,100,0,1,0,0,0,0,0,0,0,0,0,+3,
,,,,3081,Carlik,Jones,6,Chicago Bulls,Bulls,CHI,https://upload.wikimedia.org/wikipedia/fr/thumb/d/d1/Bulls_de_Chicago_logo.svg/1200px-Bulls_de_Chicago_logo.svg.png,12480,0,G,9,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,-5,
,,,,3452,Quenton,Jackson,6,Chicago Bulls,Bulls,CHI,https://upload.wikimedia.org/wikipedia/fr/thumb/d/d1/Bulls_de_Chicago_logo.svg/1200px-Bulls_de_Chicago_logo.svg.png,12480,5,G,5,2,3,66.7,1,1,100,0,0,0,1,1,2,1,0,0,1,0,+3,
,,,,2664,Patrick,Williams,6,Chicago Bulls,Bulls,CHI,https://upload.wikimedia.org/wikipedia/fr/thumb/d/d1/Bulls_de_Chicago_logo.svg/1200px-Bulls_de_Chicago_logo.svg.png,12505,2,PF,19,1,4,25,0,0,0,0,1,0,0,3,3,1,0,0,1,0,+8,
,,,,136,DeMar,DeRozan,6,Chicago Bulls,Bulls,CHI,https://upload.wikimedia.org/wikipedia/fr/thumb/d/d1/Bulls_de_Chicago_logo.svg/1200px-Bulls_de_Chicago_logo.svg.png,12505,19,SF,24,5,11,45.5,8,8,100,1,4,25,1,0,1,1,1,4,3,0,+1,
,,,,534,Nikola,Vucevic,6,Chicago Bulls,Bulls,CHI,https://upload.wikimedia.org/wikipedia/fr/thumb/d/d1/Bulls_de_Chicago_logo.svg/1200px-Bulls_de_Chicago_logo.svg.png,12505,10,C,22,4,8,50,2,2,100,0,1,0,0,4,4,2,2,2,3,0,+3,
,,,,1900,Coby,White,6,Chicago Bulls,Bulls,CHI,https://upload.wikimedia.org/wikipedia/fr/thumb/d/d1/Bulls_de_Chicago_logo.svg/1200px-Bulls_de_Chicago_logo.svg.png,12505,8,PG,22,4,7,57.1,0,0,0,0,1,0,1,0,1,4,1,0,3,0,+3,
,,,,308,Zach,LaVine,6,Chicago Bulls,Bulls,CHI,https://upload.wikimedia.org/wikipedia/fr/thumb/d/d1/Bulls_de_Chicago_logo.svg/1200px-Bulls_de_Chicago_logo.svg.png,12505,17,SG,23,8,15,53.3,0,0,0,1,5,20,2,2,4,3,1,3,3,0,+7,
,,,,2853,Terry,Taylor,6,Chicago Bulls,Bulls,CHI,https://upload.wikimedia.org/wikipedia/fr/thumb/d/d1/Bulls_de_Chicago_logo.svg/1200px-Bulls_de_Chicago_logo.svg.png,12505,10,F,22,5,11,45.5,0,0,0,0,0,0,5,2,7,4,0,1,1,0,+7,
,,,,3494,Dalen,Terry,6,Chicago Bulls,Bulls,CHI,https://upload.wikimedia.org/wikipedia/fr/thumb/d/d1/Bulls_de_Chicago_logo.svg/1200px-Bulls_de_Chicago_logo.svg.png,12505,7,F,20,3,9,33.3,0,0,0,1,4,25,2,2,4,2,3,2,0,1,-3,
,,,,3954,Julian,Phillips,6,Chicago Bulls,Bulls,CHI,https://upload.wikimedia.org/wikipedia/fr/thumb/d/d1/Bulls_de_Chicago_logo.svg/1200px-Bulls_de_Chicago_logo.svg.png,12505,8,F,19,2,4,50,3,4,75,1,2,50,1,1,2,1,1,0,1,0,-2,
,,,,765,Torrey,Craig,6,Chicago Bulls,Bulls,CHI,https://upload.wikimedia.org/wikipedia/fr/thumb/d/d1/Bulls_de_Chicago_logo.svg/1200px-Bulls_de_Chicago_logo.svg.png,12505,5,SF,20,2,3,66.7,0,0,0,1,2,50,1,2,3,2,3,1,1,0,+3,
,,,,147,Andre,Drummond,6,Chicago Bulls,Bulls,CHI,https://upload.wikimedia.org/wikipedia/fr/thumb/d/d1/Bulls_de_Chicago_logo.svg/1200px-Bulls_de_Chicago_logo.svg.png,12505,6,C,14,3,12,25,0,0,0,0,0,0,9,4,13,1,0,0,1,0,-1,
,,,,949,Jevon,Carter,6,Chicago Bulls,Bulls,CHI,https://upload.wikimedia.org/wikipedia/fr/thumb/d/d1/Bulls_de_Chicago_logo.svg/1200px-Bulls_de_Chicago_logo.svg.png,12505,8,PG,17,2,3,66.7,2,2,100,2,3,66.7,0,0,0,4,0,0,1,0,+4,
,,,,631,Alex,Caruso,6,Chicago Bulls,Bulls,CHI,https://upload.wikimedia.org/wikipedia/fr/thumb/d/d1/Bulls_de_Chicago_logo.svg/1200px-Bulls_de_Chicago_logo.svg.png,12505,14,SG,15,5,9,55.6,0,0,0,4,6,66.7,1,3,4,1,0,2,1,0,+11,
,,,,2802,Ayo,Dosunmu,6,Chicago Bulls,Bulls,CHI,https://upload.wikimedia.org/wikipedia/fr/thumb/d/d1/Bulls_de_Chicago_logo.svg/1200px-Bulls_de_Chicago_logo.svg.png,12505,7,SG,18,3,6,50,0,0,0,1,3,33.3,3,1,4,3,2,0,0,0,+9,
,,,,3081,Carlik,Jones,6,Chicago Bulls,Bulls,CHI,https://upload.wikimedia.org/wikipedia/fr/thumb/d/d1/Bulls_de_Chicago_logo.svg/1200px-Bulls_de_Chicago_logo.svg.png,12505,5,G,18,2,6,33.3,0,0,0,1,4,25,0,4,4,2,0,0,1,0,-5,
,,,,3452,Quenton,Jackson,6,Chicago Bulls,Bulls,CHI,https://upload.wikimedia.org/wikipedia/fr/thumb/d/d1/Bulls_de_Chicago_logo.svg/1200px-Bulls_de_Chicago_logo.svg.png,12505,7,G,16,2,4,50,2,2,100,1,2,50,0,2,2,3,2,1,1,0,0,
,,,,2664,Patrick,Williams,6,Chicago Bulls,Bulls,CHI,https://upload.wikimedia.org/wikipedia/fr/thumb/d/d1/Bulls_de_Chicago_logo.svg/1200px-Bulls_de_Chicago_logo.svg.png,12517,20,PF,25,8,14,57.1,1,2,50,3,5,60,0,2,2,1,2,0,1,0,-1,
,,,,765,Torrey,Craig,6,Chicago Bulls,Bulls,CHI,https://upload.wikimedia.org/wikipedia/fr/thumb/d/d1/Bulls_de_Chicago_logo.svg/1200px-Bulls_de_Chicago_logo.svg.png,12517,2,SF,22,1,5,20,0,0,0,0,2,0,1,3,4,1,4,0,0,0,-16,
,,,,147,Andre,Drummond,6,Chicago Bulls,Bulls,CHI,https://upload.wikimedia.org/wikipedia/fr/thumb/d/d1/Bulls_de_Chicago_logo.svg/1200px-Bulls_de_Chicago_logo.svg.png,12517,9,C,22,4,9,44.4,1,1,100,0,0,0,4,6,10,1,4,1,1,0,-7,
,,,,1900,Coby,White,6,Chicago Bulls,Bulls,CHI,https://upload.wikimedia.org/wikipedia/fr/thumb/d/d1/Bulls_de_Chicago_logo.svg/1200px-Bulls_de_Chicago_logo.svg.png,12517,20,PG,22,6,11,54.5,5,7,71.4,3,7,42.9,0,1,1,3,4,0,0,0,-5,
,,,,2802,Ayo,Dosunmu,6,Chicago Bulls,Bulls,CHI,https://upload.wikimedia.org/wikipedia/fr/thumb/d/d1/Bulls_de_Chicago_logo.svg/1200px-Bulls_de_Chicago_logo.svg.png,12517,12,SG,31,6,9,66.7,0,0,0,0,1,0,2,2,4,7,2,0,1,0,-4,
,,,,2853,Terry,Taylor,6,Chicago Bulls,Bulls,CHI,https://upload.wikimedia.org/wikipedia/fr/thumb/d/d1/Bulls_de_Chicago_logo.svg/1200px-Bulls_de_Chicago_logo.svg.png,12517,5,F,12,2,3,66.7,1,1,100,0,0,0,1,3,4,1,0,0,1,0,-6,
,,,,3461,Justin,Lewis,6,Chicago Bulls,Bulls,CHI,https://upload.wikimedia.org/wikipedia/fr/thumb/d/d1/Bulls_de_Chicago_logo.svg/1200px-Bulls_de_Chicago_logo.svg.png,12517,2,F,6,1,2,50,0,2,0,0,1,0,0,3,3,0,0,0,0,0,+4,
,,,,3494,Dalen,Terry,6,Chicago Bulls,Bulls,CHI,https://upload.wikimedia.org/wikipedia/fr/thumb/d/d1/Bulls_de_Chicago_logo.svg/1200px-Bulls_de_Chicago_logo.svg.png,12517,2,F,19,1,6,16.7,0,0,0,0,2,0,3,1,4,2,4,1,2,0,-7,
,,,,3954,Julian,Phillips,6,Chicago Bulls,Bulls,CHI,https://upload.wikimedia.org/wikipedia/fr/thumb/d/d1/Bulls_de_Chicago_logo.svg/1200px-Bulls_de_Chicago_logo.svg.png,12517,2,F,19,0,1,0,2,4,50,0,1,0,1,4,5,0,3,0,0,1,-17,
,,,,3951,Onuralp,Bitim,6,Chicago Bulls,Bulls,CHI,https://upload.wikimedia.org/wikipedia/fr/thumb/d/d1/Bulls_de_Chicago_logo.svg/1200px-Bulls_de_Chicago_logo.svg.png,12517,6,SF,12,2,3,66.7,0,0,0,2,3,66.7,0,0,0,0,0,0,1,0,-4,
,,,,3955,Adama,Sanogo,6,Chicago Bulls,Bulls,CHI,https://upload.wikimedia.org/wikipedia/fr/thumb/d/d1/Bulls_de_Chicago_logo.svg/1200px-Bulls_de_Chicago_logo.svg.png,12517,7,C,14,3,8,37.5,1,2,50,0,0,0,3,1,4,0,2,1,2,1,-1,
,,,,949,Jevon,Carter,6,Chicago Bulls,Bulls,CHI,https://upload.wikimedia.org/wikipedia/fr/thumb/d/d1/Bulls_de_Chicago_logo.svg/1200px-Bulls_de_Chicago_logo.svg.png,12517,9,PG,22,3,10,30,0,0,0,3,5,60,0,2,2,1,0,0,0,0,-4,
,,,,3081,Carlik,Jones,6,Chicago Bulls,Bulls,CHI,https://upload.wikimedia.org/wikipedia/fr/thumb/d/d1/Bulls_de_Chicago_logo.svg/1200px-Bulls_de_Chicago_logo.svg.png,12517,3,G,10,1,4,25,1,2,50,0,1,0,0,0,0,4,0,1,0,0,-4,
