get,parameters.team,parameters.season,results,response.player.id,response.player.firstname,response.player.lastname,response.team.id,response.team.name,response.team.nickname,response.team.code,response.team.logo,response.game.id,response.points,response.pos,response.min,response.fgm,response.fga,response.fgp,response.ftm,response.fta,response.ftp,response.tpm,response.tpa,response.tpp,response.offReb,response.defReb,response.totReb,response.assists,response.pFouls,response.steals,response.turnovers,response.blocks,response.plusMinus,response.comment
players/statistics,11,2023,1000,322,Kevon,Looney,11,Golden State Warriors,Warriors,GSW,https://upload.wikimedia.org/wikipedia/fr/thumb/d/de/Warriors_de_Golden_State_logo.svg/1200px-Warriors_de_Golden_State_logo.svg.png,12479,4,F,13,2,3,66.7,0,0,0,0,0,0,2,3,5,1,3,1,0,1,+6,
,,,,548,Andrew,Wiggins,11,Golden State Warriors,Warriors,GSW,https://upload.wikimedia.org/wikipedia/fr/thumb/d/de/Warriors_de_Golden_State_logo.svg/1200px-Warriors_de_Golden_State_logo.svg.png,12479,6,SF,14,2,6,33.3,1,4,25,1,4,25,1,2,3,0,1,0,0,0,+3,
,,,,415,Chris,Paul,11,Golden State Warriors,Warriors,GSW,https://upload.wikimedia.org/wikipedia/fr/thumb/d/de/Warriors_de_Golden_State_logo.svg/1200px-Warriors_de_Golden_State_logo.svg.png,12479,6,PG,13,2,4,50,2,2,100,0,1,0,0,4,4,5,1,0,2,0,+6,
,,,,124,Stephen,Curry,11,Golden State Warriors,Warriors,GSW,https://upload.wikimedia.org/wikipedia/fr/thumb/d/de/Warriors_de_Golden_State_logo.svg/1200px-Warriors_de_Golden_State_logo.svg.png,12479,8,PG,13,3,6,50,0,0,0,2,5,40,0,2,2,1,0,3,1,0,+6,
,,,,514,Klay,Thompson,11,Golden State Warriors,Warriors,GSW,https://upload.wikimedia.org/wikipedia/fr/thumb/d/de/Warriors_de_Golden_State_logo.svg/1200px-Warriors_de_Golden_State_logo.svg.png,12479,10,SG,13,2,8,25,4,6,66.7,2,7,28.6,0,4,4,0,0,0,2,1,+6,
,,,,468,Dario,Saric,11,Golden State Warriors,Warriors,GSW,https://upload.wikimedia.org/wikipedia/fr/thumb/d/de/Warriors_de_Golden_State_logo.svg/1200px-Warriors_de_Golden_State_logo.svg.png,12479,6,PF,15,2,4,50,0,0,0,2,3,66.7,1,3,4,3,1,1,1,0,+2,
,,,,2827,Jonathan,Kuminga,11,Golden State Warriors,Warriors,GSW,https://upload.wikimedia.org/wikipedia/fr/thumb/d/de/Warriors_de_Golden_State_logo.svg/1200px-Warriors_de_Golden_State_logo.svg.png,12479,24,PF,24,8,14,57.1,4,5,80,4,8,50,0,8,8,4,2,0,5,2,+4,
,,,,2806,Usman,Garuba,11,Golden State Warriors,Warriors,GSW,https://upload.wikimedia.org/wikipedia/fr/thumb/d/de/Warriors_de_Golden_State_logo.svg/1200px-Warriors_de_Golden_State_logo.svg.png,12479,0,PF,6,0,1,0,0,0,0,0,0,0,0,2,2,0,1,1,0,1,+4,
,,,,3974,Javan,Johnson,11,Golden State Warriors,Warriors,GSW,https://upload.wikimedia.org/wikipedia/fr/thumb/d/de/Warriors_de_Golden_State_logo.svg/1200px-Warriors_de_Golden_State_logo.svg.png,12479,5,F,9,2,4,50,0,0,0,1,3,33.3,0,1,1,1,1,0,0,0,+3,
,,,,3973,Trayce,JacksonDavis,11,Golden State Warriors,Warriors,GSW,https://upload.wikimedia.org/wikipedia/fr/thumb/d/de/Warriors_de_Golden_State_logo.svg/1200px-Warriors_de_Golden_State_logo.svg.png,12479,0,F,15,0,1,0,0,0,0,0,0,0,0,1,1,1,0,2,0,2,+5,
