get,parameters.team,parameters.season,results,response.player.id,response.player.firstname,response.player.lastname,response.team.id,response.team.name,response.team.nickname,response.team.code,response.team.logo,response.game.id,response.points,response.pos,response.min,response.fgm,response.fga,response.fgp,response.ftm,response.fta,response.ftp,response.tpm,response.tpa,response.tpp,response.offReb,response.defReb,response.totReb,response.assists,response.pFouls,response.steals,response.turnovers,response.blocks,response.plusMinus,response.comment
players/statistics,14,2023,959,3489,Jabari,Smith Jr.,14,Houston Rockets,Rockets,HOU,https://upload.wikimedia.org/wikipedia/fr/thumb/d/de/Houston_Rockets_logo_2003.png/330px-Houston_Rockets_logo_2003.png,12492,14,PF,23,4,8,50,5,5,100,1,1,100,0,7,7,0,1,0,1,1,+10,
,,,,749,Dillon,Brooks,14,Houston Rockets,Rockets,HOU,https://upload.wikimedia.org/wikipedia/fr/thumb/d/de/Houston_Rockets_logo_2003.png/330px-Houston_Rockets_logo_2003.png,12492,0,SF,5,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,+1,
,,,,2847,Alperen,Sengun,14,Houston Rockets,Rockets,HOU,https://upload.wikimedia.org/wikipedia/fr/thumb/d/de/Houston_Rockets_logo_2003.png/330px-Houston_Rockets_logo_2003.png,12492,15,C,24,4,8,50,6,10,60,1,1,100,0,5,5,4,3,0,0,2,+14,
,,,,527,Fred,VanVleet,14,Houston Rockets,Rockets,HOU,https://upload.wikimedia.org/wikipedia/fr/thumb/d/de/Houston_Rockets_logo_2003.png/330px-Houston_Rockets_logo_2003.png,12492,10,SG,25,3,11,27.3,2,2,100,2,6,33.3,0,1,1,4,1,2,1,1,+1,
,,,,2810,Jalen,Green,14,Houston Rockets,Rockets,HOU,https://upload.wikimedia.org/wikipedia/fr/thumb/d/de/Houston_Rockets_logo_2003.png/330px-Houston_Rockets_logo_2003.png,12492,11,SG,24,5,12,41.7,1,5,20,0,4,0,0,3,3,2,2,1,2,0,0,
,,,,869,Samardo,Samuels,14,Houston Rockets,Rockets,HOU,https://upload.wikimedia.org/wikipedia/fr/thumb/d/de/Houston_Rockets_logo_2003.png/330px-Houston_Rockets_logo_2003.png,12492,6,F,12,2,3,66.7,2,2,100,0,0,0,2,2,4,1,1,1,0,0,+9,
,,,,3976,Matthew,Mayer,14,Houston Rockets,Rockets,HOU,https://upload.wikimedia.org/wikipedia/fr/thumb/d/de/Houston_Rockets_logo_2003.png/330px-Houston_Rockets_logo_2003.png,12492,3,F,4,1,1,100,0,0,0,1,1,100,1,1,2,0,1,0,0,0,+3,
,,,,3430,Darius,Days,14,Houston Rockets,Rockets,HOU,https://upload.wikimedia.org/wikipedia/fr/thumb/d/de/Houston_Rockets_logo_2003.png/330px-Houston_Rockets_logo_2003.png,12492,3,F,8,1,2,50,0,0,0,1,2,50,1,0,1,1,0,2,0,0,+9,
,,,,3435,Tari,Eason,14,Houston Rockets,Rockets,HOU,https://upload.wikimedia.org/wikipedia/fr/thumb/d/de/Houston_Rockets_logo_2003.png/330px-Houston_Rockets_logo_2003.png,12492,11,F,21,5,6,83.3,1,1,100,0,0,0,2,6,8,2,1,2,0,1,+2,
,,,,3977,Amen,Thompson,14,Houston Rockets,Rockets,HOU,https://upload.wikimedia.org/wikipedia/fr/thumb/d/de/Houston_Rockets_logo_2003.png/330px-Houston_Rockets_logo_2003.png,12492,7,F,21,1,9,11.1,5,6,83.3,0,2,0,1,8,9,3,2,1,3,0,+9,
,,,,3978,Cam,Whitmore,14,Houston Rockets,Rockets,HOU,https://upload.wikimedia.org/wikipedia/fr/thumb/d/de/Houston_Rockets_logo_2003.png/330px-Houston_Rockets_logo_2003.png,12492,15,F,17,6,10,60,0,0,0,3,4,75,1,3,4,0,1,1,0,0,+21,
,,,,2650,Jae'Sean,Tate,14,Houston Rockets,Rockets,HOU,https://upload.wikimedia.org/wikipedia/fr/thumb/d/de/Houston_Rockets_logo_2003.png/330px-Houston_Rockets_logo_2003.png,12492,9,SF,11,3,4,75,3,5,60,0,0,0,1,2,3,1,0,0,1,0,+3,
,,,,1485,Jock,Landale,14,Houston Rockets,Rockets,HOU,https://upload.wikimedia.org/wikipedia/fr/thumb/d/de/Houston_Rockets_logo_2003.png/330px-Houston_Rockets_logo_2003.png,12492,4,C,14,1,3,33.3,2,2,100,0,0,0,3,1,4,0,4,0,1,0,-10,
,,,,979,Aaron,Holiday,14,Houston Rockets,Rockets,HOU,https://upload.wikimedia.org/wikipedia/fr/thumb/d/de/Houston_Rockets_logo_2003.png/330px-Houston_Rockets_logo_2003.png,12492,2,G,15,1,4,25,0,0,0,0,1,0,2,2,4,0,2,0,0,0,+7,
