get,parameters.team,parameters.season,results,response.player.id,response.player.firstname,response.player.lastname,response.team.id,response.team.name,response.team.nickname,response.team.code,response.team.logo,response.game.id,response.points,response.pos,response.min,response.fgm,response.fga,response.fgp,response.ftm,response.fta,response.ftp,response.tpm,response.tpa,response.tpp,response.offReb,response.defReb,response.totReb,response.assists,response.pFouls,response.steals,response.turnovers,response.blocks,response.plusMinus,response.comment
players/statistics,16,2023,985,189,Paul,George,16,LA Clippers,Clippers,LAC,https://upload.wikimedia.org/wikipedia/fr/d/d6/Los_Angeles_Clippers_logo_2010.png,12485,8,F,15,3,7,42.9,0,0,0,2,3,66.7,0,5,5,2,0,2,1,0,+10,
,,,,314,Kawhi,Leonard,16,LA Clippers,Clippers,LAC,https://upload.wikimedia.org/wikipedia/fr/d/d6/Los_Angeles_Clippers_logo_2010.png,12485,11,SF,15,4,8,50,2,2,100,1,3,33.3,0,2,2,1,1,2,0,0,+7,
,,,,575,Ivica,Zubac,16,LA Clippers,Clippers,LAC,https://upload.wikimedia.org/wikipedia/fr/d/d6/Los_Angeles_Clippers_logo_2010.png,12485,4,C,15,2,3,66.7,0,0,0,0,0,0,1,2,3,0,0,0,0,1,+7,
,,,,2816,Bones,Hyland,16,LA Clippers,Clippers,LAC,https://upload.wikimedia.org/wikipedia/fr/d/d6/Los_Angeles_Clippers_logo_2010.png,12485,18,PG,24,7,14,50,4,4,100,0,6,0,1,2,3,4,2,0,2,2,-4,
,,,,1877,Terance,Mann,16,LA Clippers,Clippers,LAC,https://upload.wikimedia.org/wikipedia/fr/d/d6/Los_Angeles_Clippers_logo_2010.png,12485,2,SG,18,1,1,100,0,0,0,0,0,0,0,0,0,1,1,0,0,0,+3,
,,,,118,Robert,Covington,16,LA Clippers,Clippers,LAC,https://upload.wikimedia.org/wikipedia/fr/d/d6/Los_Angeles_Clippers_logo_2010.png,12485,0,PF,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,+4,
,,,,3985,Bryson,Williams,16,LA Clippers,Clippers,LAC,https://upload.wikimedia.org/wikipedia/fr/d/d6/Los_Angeles_Clippers_logo_2010.png,12485,5,F,7,2,6,33.3,1,2,50,0,1,0,0,0,0,0,0,0,0,1,-13,
,,,,2617,Kenyon,Martin Jr.,16,LA Clippers,Clippers,LAC,https://upload.wikimedia.org/wikipedia/fr/d/d6/Los_Angeles_Clippers_logo_2010.png,12485,7,F,17,3,9,33.3,0,0,0,1,1,100,4,4,8,0,5,0,1,0,-11,
,,,,3431,Moussa,Diabate,16,LA Clippers,Clippers,LAC,https://upload.wikimedia.org/wikipedia/fr/d/d6/Los_Angeles_Clippers_logo_2010.png,12485,8,F,17,3,7,42.9,2,2,100,0,0,0,5,3,8,0,2,1,2,1,+1,
,,,,426,Mason,Plumlee,16,LA Clippers,Clippers,LAC,https://upload.wikimedia.org/wikipedia/fr/d/d6/Los_Angeles_Clippers_logo_2010.png,12485,2,C,9,1,2,50,0,0,0,0,0,0,1,0,1,1,3,1,1,0,0,
