get,parameters.team,parameters.season,results,response.player.id,response.player.firstname,response.player.lastname,response.team.id,response.team.name,response.team.nickname,response.team.code,response.team.logo,response.game.id,response.points,response.pos,response.min,response.fgm,response.fga,response.fgp,response.ftm,response.fta,response.ftp,response.tpm,response.tpa,response.tpp,response.offReb,response.defReb,response.totReb,response.assists,response.pFouls,response.steals,response.turnovers,response.blocks,response.plusMinus,response.comment
players/statistics,17,2023,1026,126,Anthony,Davis,17,Los Angeles Lakers,Lakers,LAL,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3c/Los_Angeles_Lakers_logo.svg/220px-Los_Angeles_Lakers_logo.svg.png,12479,15,PF,13,6,11,54.5,1,2,50,2,3,66.7,0,5,5,0,1,0,1,0,-9,
,,,,1862,Rui,Hachimura,17,Los Angeles Lakers,Lakers,LAL,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3c/Los_Angeles_Lakers_logo.svg/220px-Los_Angeles_Lakers_logo.svg.png,12479,12,PF,21,5,12,41.7,1,1,100,1,2,50,0,7,7,1,0,0,1,1,+6,
,,,,1036,Jarred,Vanderbilt,17,Los Angeles Lakers,Lakers,LAL,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3c/Los_Angeles_Lakers_logo.svg/220px-Los_Angeles_Lakers_logo.svg.png,12479,6,PF,21,2,4,50,0,2,0,2,3,66.7,3,4,7,1,0,1,2,0,+2,
,,,,462,D'Angelo,Russell,17,Los Angeles Lakers,Lakers,LAL,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3c/Los_Angeles_Lakers_logo.svg/220px-Los_Angeles_Lakers_logo.svg.png,12479,15,PG,16,6,10,60,1,1,100,2,3,66.7,0,1,1,5,2,1,1,1,+8,
,,,,1775,Gabe,Vincent,17,Los Angeles Lakers,Lakers,LAL,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3c/Los_Angeles_Lakers_logo.svg/220px-Los_Angeles_Lakers_logo.svg.png,12479,7,PG,20,2,6,33.3,1,2,50,2,4,50,0,1,1,4,1,1,0,0,-9,
,,,,437,Taurean,Prince,17,Los Angeles Lakers,Lakers,LAL,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3c/Los_Angeles_Lakers_logo.svg/220px-Los_Angeles_Lakers_logo.svg.png,12479,2,PF,13,1,5,20,0,0,0,0,3,0,0,1,1,0,6,1,0,0,-15,
,,,,560,Christian,Wood,17,Los Angeles Lakers,Lakers,LAL,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3c/Los_Angeles_Lakers_logo.svg/220px-Los_Angeles_Lakers_logo.svg.png,12479,5,F,20,2,8,25,1,2,50,0,1,0,0,4,4,1,0,1,1,1,-16,
,,,,3991,Maxwell,Lewis,17,Los Angeles Lakers,Lakers,LAL,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3c/Los_Angeles_Lakers_logo.svg/220px-Los_Angeles_Lakers_logo.svg.png,12479,5,F,10,1,2,50,2,2,100,1,2,50,0,0,0,1,3,0,2,0,-4,
,,,,3988,Alex,Fudge,17,Los Angeles Lakers,Lakers,LAL,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3c/Los_Angeles_Lakers_logo.svg/220px-Los_Angeles_Lakers_logo.svg.png,12479,2,F,8,1,2,50,0,0,0,0,0,0,1,0,1,0,0,0,0,0,-5,
,,,,1889,Cam,Reddish,17,Los Angeles Lakers,Lakers,LAL,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3c/Los_Angeles_Lakers_logo.svg/220px-Los_Angeles_Lakers_logo.svg.png,12479,1,SF,18,0,4,0,1,2,50,0,3,0,0,2,2,2,1,2,3,1,-22,
,,,,1864,Jaxson,Hayes,17,Los Angeles Lakers,Lakers,LAL,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3c/Los_Angeles_Lakers_logo.svg/220px-Los_Angeles_Lakers_logo.svg.png,12479,5,C,15,2,2,100,1,3,33.3,0,0,0,1,1,2,3,2,1,1,0,+7,
,,,,3987,Colin,Castleton,17,Los Angeles Lakers,Lakers,LAL,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3c/Los_Angeles_Lakers_logo.svg/220px-Los_Angeles_Lakers_logo.svg.png,12479,3,C,8,1,6,16.7,1,2,50,0,0,0,3,2,5,0,0,0,1,1,-5,
,,,,3427,Max,Christie,17,Los Angeles Lakers,Lakers,LAL,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3c/Los_Angeles_Lakers_logo.svg/220px-Los_Angeles_Lakers_logo.svg.png,12479,15,G,25,6,10,60,1,1,100,2,4,50,0,2,2,1,1,1,1,0,-4,
,,,,3989,D'Moi,Hodge,17,Los Angeles Lakers,Lakers,LAL,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3c/Los_Angeles_Lakers_logo.svg/220px-Los_Angeles_Lakers_logo.svg.png,12479,8,G,8,3,7,42.9,0,0,0,2,6,33.3,0,2,2,0,0,1,0,1,-5,
,,,,3990,Jalen,HoodSchifino,17,Los Angeles Lakers,Lakers,LAL,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3c/Los_Angeles_Lakers_logo.svg/220px-Los_Angeles_Lakers_logo.svg.png,12479,7,G,23,3,11,27.3,0,0,0,1,4,25,2,4,6,2,3,0,3,1,-14,
,,,,126,Anthony,Davis,17,Los Angeles Lakers,Lakers,LAL,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3c/Los_Angeles_Lakers_logo.svg/220px-Los_Angeles_Lakers_logo.svg.png,12488,13,PF,14,4,6,66.7,4,4,100,1,3,33.3,0,7,7,1,1,0,0,3,+17,
,,,,437,Taurean,Prince,17,Los Angeles Lakers,Lakers,LAL,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3c/Los_Angeles_Lakers_logo.svg/220px-Los_Angeles_Lakers_logo.svg.png,12488,13,PF,20,5,7,71.4,0,0,0,3,5,60,0,1,1,1,5,0,0,0,+4,
,,,,265,LeBron,James,17,Los Angeles Lakers,Lakers,LAL,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3c/Los_Angeles_Lakers_logo.svg/220px-Los_Angeles_Lakers_logo.svg.png,12488,10,SF,17,3,8,37.5,3,4,75,1,4,25,0,3,3,5,2,1,3,1,+2,
,,,,462,D'Angelo,Russell,17,Los Angeles Lakers,Lakers,LAL,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3c/Los_Angeles_Lakers_logo.svg/220px-Los_Angeles_Lakers_logo.svg.png,12488,14,PG,16,5,8,62.5,0,0,0,4,5,80,0,1,1,6,2,2,0,0,+10,
,,,,2845,Austin,Reaves,17,Los Angeles Lakers,Lakers,LAL,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3c/Los_Angeles_Lakers_logo.svg/220px-Los_Angeles_Lakers_logo.svg.png,12488,18,SG,20,5,7,71.4,4,4,100,4,6,66.7,0,2,2,2,0,0,2,0,+4,
,,,,1862,Rui,Hachimura,17,Los Angeles Lakers,Lakers,LAL,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3c/Los_Angeles_Lakers_logo.svg/220px-Los_Angeles_Lakers_logo.svg.png,12488,19,PF,20,8,14,57.1,1,1,100,2,5,40,2,3,5,1,1,0,2,0,-11,
,,,,560,Christian,Wood,17,Los Angeles Lakers,Lakers,LAL,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3c/Los_Angeles_Lakers_logo.svg/220px-Los_Angeles_Lakers_logo.svg.png,12488,10,F,22,4,10,40,2,4,50,0,3,0,1,5,6,0,1,2,1,0,-3,
,,,,3991,Maxwell,Lewis,17,Los Angeles Lakers,Lakers,LAL,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3c/Los_Angeles_Lakers_logo.svg/220px-Los_Angeles_Lakers_logo.svg.png,12488,10,F,15,4,5,80,0,0,0,2,3,66.7,0,2,2,1,2,0,2,0,-2,
,,,,3988,Alex,Fudge,17,Los Angeles Lakers,Lakers,LAL,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3c/Los_Angeles_Lakers_logo.svg/220px-Los_Angeles_Lakers_logo.svg.png,12488,0,F,8,0,2,0,0,0,0,0,1,0,0,2,2,0,2,1,0,0,-5,
,,,,1864,Jaxson,Hayes,17,Los Angeles Lakers,Lakers,LAL,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3c/Los_Angeles_Lakers_logo.svg/220px-Los_Angeles_Lakers_logo.svg.png,12488,8,C,21,4,4,100,0,0,0,0,0,0,2,5,7,1,3,0,1,0,+12,
,,,,3987,Colin,Castleton,17,Los Angeles Lakers,Lakers,LAL,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3c/Los_Angeles_Lakers_logo.svg/220px-Los_Angeles_Lakers_logo.svg.png,12488,5,C,8,2,4,50,1,2,50,0,0,0,3,2,5,0,0,1,0,0,-5,
,,,,1775,Gabe,Vincent,17,Los Angeles Lakers,Lakers,LAL,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3c/Los_Angeles_Lakers_logo.svg/220px-Los_Angeles_Lakers_logo.svg.png,12488,6,PG,19,2,8,25,0,0,0,2,7,28.6,0,1,1,2,2,0,2,0,-3,
,,,,3525,Bryce,Hamilton,17,Los Angeles Lakers,Lakers,LAL,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3c/Los_Angeles_Lakers_logo.svg/220px-Los_Angeles_Lakers_logo.svg.png,12488,0,G,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,
,,,,3427,Max,Christie,17,Los Angeles Lakers,Lakers,LAL,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3c/Los_Angeles_Lakers_logo.svg/220px-Los_Angeles_Lakers_logo.svg.png,12488,3,G,17,1,6,16.7,0,0,0,1,6,16.7,0,3,3,0,4,0,0,0,+2,
,,,,3989,D'Moi,Hodge,17,Los Angeles Lakers,Lakers,LAL,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3c/Los_Angeles_Lakers_logo.svg/220px-Los_Angeles_Lakers_logo.svg.png,12488,0,G,8,0,4,0,0,0,0,0,4,0,0,2,2,1,0,1,0,1,-5,
,,,,3990,Jalen,HoodSchifino,17,Los Angeles Lakers,Lakers,LAL,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3c/Los_Angeles_Lakers_logo.svg/220px-Los_Angeles_Lakers_logo.svg.png,12488,0,G,15,0,5,0,0,0,0,0,3,0,0,1,1,4,2,0,2,1,-2,
,,,,437,Taurean,Prince,17,Los Angeles Lakers,Lakers,LAL,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3c/Los_Angeles_Lakers_logo.svg/220px-Los_Angeles_Lakers_logo.svg.png,12499,13,PF,21,5,9,55.6,1,1,100,2,5,40,0,7,7,1,2,2,0,0,+12,
,,,,1862,Rui,Hachimura,17,Los Angeles Lakers,Lakers,LAL,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3c/Los_Angeles_Lakers_logo.svg/220px-Los_Angeles_Lakers_logo.svg.png,12499,13,PF,26,5,10,50,2,2,100,1,3,33.3,0,6,6,1,0,0,1,0,+11,
,,,,1864,Jaxson,Hayes,17,Los Angeles Lakers,Lakers,LAL,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3c/Los_Angeles_Lakers_logo.svg/220px-Los_Angeles_Lakers_logo.svg.png,12499,5,C,20,1,1,100,3,4,75,0,0,0,0,5,5,2,4,1,1,0,+14,
,,,,462,D'Angelo,Russell,17,Los Angeles Lakers,Lakers,LAL,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3c/Los_Angeles_Lakers_logo.svg/220px-Los_Angeles_Lakers_logo.svg.png,12499,21,PG,21,8,12,66.7,3,5,60,2,5,40,2,1,3,8,2,1,3,1,+10,
