get,parameters.team,parameters.season,results,response.player.id,response.player.firstname,response.player.lastname,response.team.id,response.team.name,response.team.nickname,response.team.code,response.team.logo,response.game.id,response.points,response.pos,response.min,response.fgm,response.fga,response.fgp,response.ftm,response.fta,response.ftp,response.tpm,response.tpa,response.tpp,response.offReb,response.defReb,response.totReb,response.assists,response.pFouls,response.steals,response.turnovers,response.blocks,response.plusMinus,response.comment
players/statistics,19,2023,904,982,Jaren,Jackson Jr.,19,Memphis Grizzlies,Grizzlies,MEM,https://upload.wikimedia.org/wikipedia/en/thumb/f/f1/Memphis_Grizzlies.svg/1200px-Memphis_Grizzlies.svg.png,12483,18,PF,25,8,15,53.3,2,3,66.7,0,4,0,1,4,5,2,4,2,2,5,0,
,,,,4,Steven,Adams,19,Memphis Grizzlies,Grizzlies,MEM,https://upload.wikimedia.org/wikipedia/en/thumb/f/f1/Memphis_Grizzlies.svg/1200px-Memphis_Grizzlies.svg.png,12483,4,C,12,2,2,100,0,0,0,0,0,0,1,4,5,0,0,0,0,1,+6,
,,,,456,Derrick,Rose,19,Memphis Grizzlies,Grizzlies,MEM,https://upload.wikimedia.org/wikipedia/en/thumb/f/f1/Memphis_Grizzlies.svg/1200px-Memphis_Grizzlies.svg.png,12483,13,PG,14,6,8,75,0,1,0,1,1,100,0,0,0,2,1,0,1,0,+6,
,,,,814,Luke,Kennard,19,Memphis Grizzlies,Grizzlies,MEM,https://upload.wikimedia.org/wikipedia/en/thumb/f/f1/Memphis_Grizzlies.svg/1200px-Memphis_Grizzlies.svg.png,12483,6,SG,21,1,5,20,3,3,100,1,4,25,0,1,1,3,0,0,0,0,+3,
,,,,2568,Desmond,Bane,19,Memphis Grizzlies,Grizzlies,MEM,https://upload.wikimedia.org/wikipedia/en/thumb/f/f1/Memphis_Grizzlies.svg/1200px-Memphis_Grizzlies.svg.png,12483,17,SG,23,5,13,38.5,6,6,100,1,6,16.7,2,2,4,4,5,1,3,0,+1,
,,,,2786,Santi,Aldama,19,Memphis Grizzlies,Grizzlies,MEM,https://upload.wikimedia.org/wikipedia/en/thumb/f/f1/Memphis_Grizzlies.svg/1200px-Memphis_Grizzlies.svg.png,12483,10,PF,18,4,8,50,2,2,100,0,1,0,2,6,8,1,1,0,1,1,-3,
,,,,2656,Xavier,Tillman,19,Memphis Grizzlies,Grizzlies,MEM,https://upload.wikimedia.org/wikipedia/en/thumb/f/f1/Memphis_Grizzlies.svg/1200px-Memphis_Grizzlies.svg.png,12483,8,F,16,4,6,66.7,0,0,0,0,1,0,1,1,2,2,1,0,0,1,-3,
,,,,2864,Ziaire,Williams,19,Memphis Grizzlies,Grizzlies,MEM,https://upload.wikimedia.org/wikipedia/en/thumb/f/f1/Memphis_Grizzlies.svg/1200px-Memphis_Grizzlies.svg.png,12483,6,F,21,2,7,28.6,2,2,100,0,3,0,0,4,4,3,2,1,3,1,-6,
,,,,3463,Kenneth,Lofton Jr.,19,Memphis Grizzlies,Grizzlies,MEM,https://upload.wikimedia.org/wikipedia/en/thumb/f/f1/Memphis_Grizzlies.svg/1200px-Memphis_Grizzlies.svg.png,12483,11,F,11,5,6,83.3,0,0,0,1,1,100,1,0,1,0,0,0,0,0,+9,
,,,,3460,Jake,LaRavia,19,Memphis Grizzlies,Grizzlies,MEM,https://upload.wikimedia.org/wikipedia/en/thumb/f/f1/Memphis_Grizzlies.svg/1200px-Memphis_Grizzlies.svg.png,12483,15,F,20,6,14,42.9,1,1,100,2,5,40,1,2,3,1,5,2,1,1,+2,
,,,,3483,David,Roddy,19,Memphis Grizzlies,Grizzlies,MEM,https://upload.wikimedia.org/wikipedia/en/thumb/f/f1/Memphis_Grizzlies.svg/1200px-Memphis_Grizzlies.svg.png,12483,9,F,20,4,6,66.7,1,1,100,0,1,0,0,4,4,2,1,1,1,0,+4,
,,,,3994,GG,Jackson,19,Memphis Grizzlies,Grizzlies,MEM,https://upload.wikimedia.org/wikipedia/en/thumb/f/f1/Memphis_Grizzlies.svg/1200px-Memphis_Grizzlies.svg.png,12483,2,F,16,1,8,12.5,0,0,0,0,5,0,0,1,1,0,0,0,0,1,+1,
,,,,2177,John,Konchar,19,Memphis Grizzlies,Grizzlies,MEM,https://upload.wikimedia.org/wikipedia/en/thumb/f/f1/Memphis_Grizzlies.svg/1200px-Memphis_Grizzlies.svg.png,12483,5,SG,18,1,4,25,2,2,100,1,3,33.3,0,2,2,1,3,1,0,0,-2,
,,,,626,Shaquille,Harrison,19,Memphis Grizzlies,Grizzlies,MEM,https://upload.wikimedia.org/wikipedia/en/thumb/f/f1/Memphis_Grizzlies.svg/1200px-Memphis_Grizzlies.svg.png,12483,0,G,11,0,3,0,0,0,0,0,0,0,0,2,2,0,2,2,0,0,+6,
,,,,3892,Jacob,Gilyard,19,Memphis Grizzlies,Grizzlies,MEM,https://upload.wikimedia.org/wikipedia/en/thumb/f/f1/Memphis_Grizzlies.svg/1200px-Memphis_Grizzlies.svg.png,12483,3,G,20,1,3,33.3,0,0,0,1,3,33.3,0,5,5,6,1,3,3,0,+1,
,,,,982,Jaren,Jackson Jr.,19,Memphis Grizzlies,Grizzlies,MEM,https://upload.wikimedia.org/wikipedia/en/thumb/f/f1/Memphis_Grizzlies.svg/1200px-Memphis_Grizzlies.svg.png,12493,17,PF,24,5,9,55.6,5,5,100,2,4,50,1,4,5,2,2,0,3,3,+3,
,,,,2656,Xavier,Tillman,19,Memphis Grizzlies,Grizzlies,MEM,https://upload.wikimedia.org/wikipedia/en/thumb/f/f1/Memphis_Grizzlies.svg/1200px-Memphis_Grizzlies.svg.png,12493,6,F,19,3,6,50,0,0,0,0,2,0,1,7,8,2,0,2,0,1,+8,
,,,,2864,Ziaire,Williams,19,Memphis Grizzlies,Grizzlies,MEM,https://upload.wikimedia.org/wikipedia/en/thumb/f/f1/Memphis_Grizzlies.svg/1200px-Memphis_Grizzlies.svg.png,12493,10,F,24,4,9,44.4,1,2,50,1,4,25,0,1,1,2,1,1,0,1,+5,
,,,,456,Derrick,Rose,19,Memphis Grizzlies,Grizzlies,MEM,https://upload.wikimedia.org/wikipedia/en/thumb/f/f1/Memphis_Grizzlies.svg/1200px-Memphis_Grizzlies.svg.png,12493,2,PG,20,1,5,20,0,0,0,0,1,0,0,4,4,7,1,0,2,0,+8,
,,,,2568,Desmond,Bane,19,Memphis Grizzlies,Grizzlies,MEM,https://upload.wikimedia.org/wikipedia/en/thumb/f/f1/Memphis_Grizzlies.svg/1200px-Memphis_Grizzlies.svg.png,12493,21,SG,26,8,14,57.1,1,1,100,4,6,66.7,1,4,5,5,3,0,4,1,0,
,,,,2786,Santi,Aldama,19,Memphis Grizzlies,Grizzlies,MEM,https://upload.wikimedia.org/wikipedia/en/thumb/f/f1/Memphis_Grizzlies.svg/1200px-Memphis_Grizzlies.svg.png,12493,7,PF,19,2,10,20,3,4,75,0,6,0,0,6,6,0,5,0,0,1,+3,
,,,,3463,Kenneth,Lofton Jr.,19,Memphis Grizzlies,Grizzlies,MEM,https://upload.wikimedia.org/wikipedia/en/thumb/f/f1/Memphis_Grizzlies.svg/1200px-Memphis_Grizzlies.svg.png,12493,8,F,25,3,10,30,2,4,50,0,5,0,3,1,4,2,3,0,3,2,+1,
,,,,3460,Jake,LaRavia,19,Memphis Grizzlies,Grizzlies,MEM,https://upload.wikimedia.org/wikipedia/en/thumb/f/f1/Memphis_Grizzlies.svg/1200px-Memphis_Grizzlies.svg.png,12493,16,F,22,5,14,35.7,3,4,75,3,10,30,2,4,6,1,2,0,0,1,+4,
,,,,3483,David,Roddy,19,Memphis Grizzlies,Grizzlies,MEM,https://upload.wikimedia.org/wikipedia/en/thumb/f/f1/Memphis_Grizzlies.svg/1200px-Memphis_Grizzlies.svg.png,12493,11,F,23,4,8,50,2,2,100,1,2,50,0,4,4,3,1,1,1,0,+3,
,,,,3994,GG,Jackson,19,Memphis Grizzlies,Grizzlies,MEM,https://upload.wikimedia.org/wikipedia/en/thumb/f/f1/Memphis_Grizzlies.svg/1200px-Memphis_Grizzlies.svg.png,12493,0,F,9,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,-4,
,,,,814,Luke,Kennard,19,Memphis Grizzlies,Grizzlies,MEM,https://upload.wikimedia.org/wikipedia/en/thumb/f/f1/Memphis_Grizzlies.svg/1200px-Memphis_Grizzlies.svg.png,12493,7,SG,18,3,6,50,0,0,0,1,3,33.3,1,3,4,0,0,0,2,0,+1,
,,,,3892,Jacob,Gilyard,19,Memphis Grizzlies,Grizzlies,MEM,https://upload.wikimedia.org/wikipedia/en/thumb/f/f1/Memphis_Grizzlies.svg/1200px-Memphis_Grizzlies.svg.png,12493,3,G,10,1,2,50,0,0,0,1,2,50,0,1,1,3,1,1,1,1,-2,
,,,,2786,Santi,Aldama,19,Memphis Grizzlies,Grizzlies,MEM,https://upload.wikimedia.org/wikipedia/en/thumb/f/f1/Memphis_Grizzlies.svg/1200px-Memphis_Grizzlies.svg.png,12503,22,PF,22,9,14,64.3,2,2,100,2,5,40,2,5,7,6,1,0,2,0,0,
,,,,2864,Ziaire,Williams,19,Memphis Grizzlies,Grizzlies,MEM,https://upload.wikimedia.org/wikipedia/en/thumb/f/f1/Memphis_Grizzlies.svg/1200px-Memphis_Grizzlies.svg.png,12503,12,F,15,4,8,50,0,0,0,4,7,57.1,0,3,3,0,1,0,3,1,-4,
,,,,3483,David,Roddy,19,Memphis Grizzlies,Grizzlies,MEM,https://upload.wikimedia.org/wikipedia/en/thumb/f/f1/Memphis_Grizzlies.svg/1200px-Memphis_Grizzlies.svg.png,12503,9,F,26,4,9,44.4,0,0,0,1,5,20,0,6,6,1,1,1,5,1,-3,
,,,,4,Steven,Adams,19,Memphis Grizzlies,Grizzlies,MEM,https://upload.wikimedia.org/wikipedia/en/thumb/f/f1/Memphis_Grizzlies.svg/1200px-Memphis_Grizzlies.svg.png,12503,5,C,15,2,4,50,1,2,50,0,1,0,3,2,5,1,0,1,3,1,-4,
,,,,3892,Jacob,Gilyard,19,Memphis Grizzlies,Grizzlies,MEM,https://upload.wikimedia.org/wikipedia/en/thumb/f/f1/Memphis_Grizzlies.svg/1200px-Memphis_Grizzlies.svg.png,12503,3,G,31,1,5,20,0,0,0,1,5,20,1,3,4,10,1,2,2,0,-5,
,,,,3993,Matthew,Hurt,19,Memphis Grizzlies,Grizzlies,MEM,https://upload.wikimedia.org/wikipedia/en/thumb/f/f1/Memphis_Grizzlies.svg/1200px-Memphis_Grizzlies.svg.png,12503,3,F,20,1,4,25,0,0,0,1,4,25,1,2,3,0,2,2,2,0,+1,
,,,,3463,Kenneth,Lofton Jr.,19,Memphis Grizzlies,Grizzlies,MEM,https://upload.wikimedia.org/wikipedia/en/thumb/f/f1/Memphis_Grizzlies.svg/1200px-Memphis_Grizzlies.svg.png,12503,7,F,26,3,9,33.3,0,2,0,1,3,33.3,3,3,6,5,2,2,2,0,+3,
,,,,3994,GG,Jackson,19,Memphis Grizzlies,Grizzlies,MEM,https://upload.wikimedia.org/wikipedia/en/thumb/f/f1/Memphis_Grizzlies.svg/1200px-Memphis_Grizzlies.svg.png,12503,24,F,26,9,23,39.1,2,3,66.7,4,11,36.4,0,3,3,1,0,0,1,1,-1,
,,,,626,Shaquille,Harrison,19,Memphis Grizzlies,Grizzlies,MEM,https://upload.wikimedia.org/wikipedia/en/thumb/f/f1/Memphis_Grizzlies.svg/1200px-Memphis_Grizzlies.svg.png,12503,2,G,23,0,0,0,2,4,50,0,0,0,0,5,5,1,2,1,0,2,+4,
,,,,2201,Mychal,Mulder,19,Memphis Grizzlies,Grizzlies,MEM,https://upload.wikimedia.org/wikipedia/en/thumb/f/f1/Memphis_Grizzlies.svg/1200px-Memphis_Grizzlies.svg.png,12503,3,G,10,1,4,25,0,0,0,1,4,25,0,0,0,0,0,0,0,0,+1,
,,,,3508,Vince,Williams Jr.,19,Memphis Grizzlies,Grizzlies,MEM,https://upload.wikimedia.org/wikipedia/en/thumb/f/f1/Memphis_Grizzlies.svg/1200px-Memphis_Grizzlies.svg.png,12503,12,G,26,3,10,30,5,6,83.3,1,8,12.5,1,8,9,3,2,1,2,3,+3,
,,,,982,Jaren,Jackson Jr.,19,Memphis Grizzlies,Grizzlies,MEM,https://upload.wikimedia.org/wikipedia/en/thumb/f/f1/Memphis_Grizzlies.svg/1200px-Memphis_Grizzlies.svg.png,12514,14,PF,25,4,9,44.4,4,4,100,2,3,66.7,1,5,6,1,4,1,0,1,+10,
,,,,2786,Santi,Aldama,19,Memphis Grizzlies,Grizzlies,MEM,https://upload.wikimedia.org/wikipedia/en/thumb/f/f1/Memphis_Grizzlies.svg/1200px-Memphis_Grizzlies.svg.png,12514,15,PF,24,5,9,55.6,3,5,60,2,6,33.3,0,2,2,0,3,2,0,0,+4,
,,,,3483,David,Roddy,19,Memphis Grizzlies,Grizzlies,MEM,https://upload.wikimedia.org/wikipedia/en/thumb/f/f1/Memphis_Grizzlies.svg/1200px-Memphis_Grizzlies.svg.png,12514,13,F,27,5,8,62.5,0,0,0,3,6,50,1,4,5,3,0,0,1,0,-6,
,,,,456,Derrick,Rose,19,Memphis Grizzlies,Grizzlies,MEM,https://upload.wikimedia.org/wikipedia/en/thumb/f/f1/Memphis_Grizzlies.svg/1200px-Memphis_Grizzlies.svg.png,12514,5,PG,22,1,5,20,3,4,75,0,3,0,0,1,1,5,3,0,1,0,+2,
,,,,2568,Desmond,Bane,19,Memphis Grizzlies,Grizzlies,MEM,https://upload.wikimedia.org/wikipedia/en/thumb/f/f1/Memphis_Grizzlies.svg/1200px-Memphis_Grizzlies.svg.png,12514,26,SG,25,8,17,47.1,6,8,75,4,8,50,0,4,4,3,0,1,1,1,+11,
,,,,2656,Xavier,Tillman,19,Memphis Grizzlies,Grizzlies,MEM,https://upload.wikimedia.org/wikipedia/en/thumb/f/f1/Memphis_Grizzlies.svg/1200px-Memphis_Grizzlies.svg.png,12514,9,F,18,3,5,60,2,2,100,1,3,33.3,2,4,6,2,1,2,0,1,+3,
,,,,3993,Matthew,Hurt,19,Memphis Grizzlies,Grizzlies,MEM,https://upload.wikimedia.org/wikipedia/en/thumb/f/f1/Memphis_Grizzlies.svg/1200px-Memphis_Grizzlies.svg.png,12514,0,F,6,0,2,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,-13,
,,,,2864,Ziaire,Williams,19,Memphis Grizzlies,Grizzlies,MEM,https://upload.wikimedia.org/wikipedia/en/thumb/f/f1/Memphis_Grizzlies.svg/1200px-Memphis_Grizzlies.svg.png,12514,19,F,21,7,10,70,1,1,100,4,6,66.7,1,2,3,2,2,0,0,0,+4,
,,,,3463,Kenneth,Lofton Jr.,19,Memphis Grizzlies,Grizzlies,MEM,https://upload.wikimedia.org/wikipedia/en/thumb/f/f1/Memphis_Grizzlies.svg/1200px-Memphis_Grizzlies.svg.png,12514,15,F,22,5,11,45.5,4,4,100,1,2,50,1,3,4,1,4,1,2,0,-20,
,,,,814,Luke,Kennard,19,Memphis Grizzlies,Grizzlies,MEM,https://upload.wikimedia.org/wikipedia/en/thumb/f/f1/Memphis_Grizzlies.svg/1200px-Memphis_Grizzlies.svg.png,12514,2,SG,19,1,7,14.3,0,0,0,0,5,0,0,1,1,2,0,0,0,1,0,
,,,,626,Shaquille,Harrison,19,Memphis Grizzlies,Grizzlies,MEM,https://upload.wikimedia.org/wikipedia/en/thumb/f/f1/Memphis_Grizzlies.svg/1200px-Memphis_Grizzlies.svg.png,12514,0,G,9,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,1,0,-9,
,,,,2201,Mychal,Mulder,19,Memphis Grizzlies,Grizzlies,MEM,https://upload.wikimedia.org/wikipedia/en/thumb/f/f1/Memphis_Grizzlies.svg/1200px-Memphis_Grizzlies.svg.png,12514,0,G,6,0,3,0,0,0,0,0,2,0,1,1,2,0,1,0,1,0,-13,
,,,,3892,Jacob,Gilyard,19,Memphis Grizzlies,Grizzlies,MEM,https://upload.wikimedia.org/wikipedia/en/thumb/f/f1/Memphis_Grizzlies.svg/1200px-Memphis_Grizzlies.svg.png,12514,6,G,14,2,3,66.7,0,0,0,2,2,100,0,0,0,5,1,0,1,0,-13,
,,,,982,Jaren,Jackson Jr.,19,Memphis Grizzlies,Grizzlies,MEM,https://upload.wikimedia.org/wikipedia/en/thumb/f/f1/Memphis_Grizzlies.svg/1200px-Memphis_Grizzlies.svg.png,12547,7,PF,20,2,8,25,2,4,50,1,4,25,1,3,4,3,6,1,3,1,-4,
,,,,2656,Xavier,Tillman,19,Memphis Grizzlies,Grizzlies,MEM,https://upload.wikimedia.org/wikipedia/en/thumb/f/f1/Memphis_Grizzlies.svg/1200px-Memphis_Grizzlies.svg.png,12547,8,F,26,4,9,44.4,0,3,0,0,3,0,2,5,7,0,2,2,0,1,+10,
,,,,2864,Ziaire,Williams,19,Memphis Grizzlies,Grizzlies,MEM,https://upload.wikimedia.org/wikipedia/en/thumb/f/f1/Memphis_Grizzlies.svg/1200px-Memphis_Grizzlies.svg.png,12547,15,F,21,4,6,66.7,7,8,87.5,0,0,0,2,5,7,1,1,2,0,0,+6,
,,,,486,Marcus,Smart,19,Memphis Grizzlies,Grizzlies,MEM,https://upload.wikimedia.org/wikipedia/en/thumb/f/f1/Memphis_Grizzlies.svg/1200px-Memphis_Grizzlies.svg.png,12547,11,PG,24,4,8,50,2,2,100,1,4,25,0,1,1,6,1,1,2,0,+14,
,,,,2568,Desmond,Bane,19,Memphis Grizzlies,Grizzlies,MEM,https://upload.wikimedia.org/wikipedia/en/thumb/f/f1/Memphis_Grizzlies.svg/1200px-Memphis_Grizzlies.svg.png,12547,24,SG,26,9,15,60,1,1,100,5,9,55.6,0,4,4,5,5,0,1,0,+6,
,,,,2786,Santi,Aldama,19,Memphis Grizzlies,Grizzlies,MEM,https://upload.wikimedia.org/wikipedia/en/thumb/f/f1/Memphis_Grizzlies.svg/1200px-Memphis_Grizzlies.svg.png,12547,13,PF,15,5,7,71.4,0,0,0,3,4,75,0,5,5,2,1,1,1,0,+13,
,,,,2857,Isaiah,Todd,19,Memphis Grizzlies,Grizzlies,MEM,https://upload.wikimedia.org/wikipedia/en/thumb/f/f1/Memphis_Grizzlies.svg/1200px-Memphis_Grizzlies.svg.png,12547,0,PF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,,,,3993,Matthew,Hurt,19,Memphis Grizzlies,Grizzlies,MEM,https://upload.wikimedia.org/wikipedia/en/thumb/f/f1/Memphis_Grizzlies.svg/1200px-Memphis_Grizzlies.svg.png,12547,0,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,,,,3463,Kenneth,Lofton Jr.,19,Memphis Grizzlies,Grizzlies,MEM,https://upload.wikimedia.org/wikipedia/en/thumb/f/f1/Memphis_Grizzlies.svg/1200px-Memphis_Grizzlies.svg.png,12547,7,F,12,2,4,50,2,2,100,1,1,100,0,1,1,1,2,0,1,0,-17,
,,,,3460,Jake,LaRavia,19,Memphis Grizzlies,Grizzlies,MEM,https://upload.wikimedia.org/wikipedia/en/thumb/f/f1/Memphis_Grizzlies.svg/1200px-Memphis_Grizzlies.svg.png,12547,6,F,24,3,12,25,0,0,0,0,6,0,3,0,3,3,3,0,2,2,-18,
,,,,3483,David,Roddy,19,Memphis Grizzlies,Grizzlies,MEM,https://upload.wikimedia.org/wikipedia/en/thumb/f/f1/Memphis_Grizzlies.svg/1200px-Memphis_Grizzlies.svg.png,12547,9,F,17,3,4,75,1,2,50,2,2,100,2,3,5,0,1,1,4,1,-5,
,,,,3994,GG,Jackson,19,Memphis Grizzlies,Grizzlies,MEM,https://upload.wikimedia.org/wikipedia/en/thumb/f/f1/Memphis_Grizzlies.svg/1200px-Memphis_Grizzlies.svg.png,12547,0,F,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,-9,
,,,,814,Luke,Kennard,19,Memphis Grizzlies,Grizzlies,MEM,https://upload.wikimedia.org/wikipedia/en/thumb/f/f1/Memphis_Grizzlies.svg/1200px-Memphis_Grizzlies.svg.png,12547,8,SG,15,3,8,37.5,0,0,0,2,6,33.3,0,0,0,3,1,0,1,0,+3,
