get,parameters.team,parameters.season,results,response.player.id,response.player.firstname,response.player.lastname,response.team.id,response.team.name,response.team.nickname,response.team.code,response.team.logo,response.game.id,response.points,response.pos,response.min,response.fgm,response.fga,response.fgp,response.ftm,response.fta,response.ftp,response.tpm,response.tpa,response.tpp,response.offReb,response.defReb,response.totReb,response.assists,response.pFouls,response.steals,response.turnovers,response.blocks,response.plusMinus,response.comment
players/statistics,20,2023,962,326,Kevin,Love,20,Miami Heat,Heat,MIA,https://upload.wikimedia.org/wikipedia/fr/thumb/1/1c/Miami_Heat_-_Logo.svg/1200px-Miami_Heat_-_Logo.svg.png,12491,0,PF,8,0,3,0,0,0,0,0,2,0,0,4,4,1,2,0,2,1,0,
,,,,724,Bam,Adebayo,20,Miami Heat,Heat,MIA,https://upload.wikimedia.org/wikipedia/fr/thumb/1/1c/Miami_Heat_-_Logo.svg/1200px-Miami_Heat_-_Logo.svg.png,12491,13,C,15,4,6,66.7,5,6,83.3,0,0,0,1,5,6,1,2,0,4,0,-9,
,,,,327,Kyle,Lowry,20,Miami Heat,Heat,MIA,https://upload.wikimedia.org/wikipedia/fr/thumb/1/1c/Miami_Heat_-_Logo.svg/1200px-Miami_Heat_-_Logo.svg.png,12491,3,PG,15,1,2,50,0,0,0,1,2,50,0,0,0,0,2,0,1,0,-9,
,,,,1866,Tyler,Herro,20,Miami Heat,Heat,MIA,https://upload.wikimedia.org/wikipedia/fr/thumb/1/1c/Miami_Heat_-_Logo.svg/1200px-Miami_Heat_-_Logo.svg.png,12491,22,PG,24,9,22,40.9,2,2,100,2,7,28.6,0,5,5,3,0,0,0,0,+8,
,,,,446,Josh,Richardson,20,Miami Heat,Heat,MIA,https://upload.wikimedia.org/wikipedia/fr/thumb/1/1c/Miami_Heat_-_Logo.svg/1200px-Miami_Heat_-_Logo.svg.png,12491,7,SG,21,3,7,42.9,0,0,0,1,3,33.3,1,3,4,3,1,1,2,0,+5,
,,,,1018,Duncan,Robinson,20,Miami Heat,Heat,MIA,https://upload.wikimedia.org/wikipedia/fr/thumb/1/1c/Miami_Heat_-_Logo.svg/1200px-Miami_Heat_-_Logo.svg.png,12491,2,F,20,0,7,0,2,2,100,0,6,0,1,2,3,2,3,0,1,0,+5,
,,,,3424,Jamal,Cain,20,Miami Heat,Heat,MIA,https://upload.wikimedia.org/wikipedia/fr/thumb/1/1c/Miami_Heat_-_Logo.svg/1200px-Miami_Heat_-_Logo.svg.png,12491,0,F,6,0,1,0,0,0,0,0,0,0,0,2,2,0,1,0,0,0,+11,
,,,,1815,Haywood,Highsmith,20,Miami Heat,Heat,MIA,https://upload.wikimedia.org/wikipedia/fr/thumb/1/1c/Miami_Heat_-_Logo.svg/1200px-Miami_Heat_-_Logo.svg.png,12491,8,F,22,3,3,100,0,0,0,2,2,100,0,0,0,0,1,3,0,1,+8,
,,,,3493,Cole,Swider,20,Miami Heat,Heat,MIA,https://upload.wikimedia.org/wikipedia/fr/thumb/1/1c/Miami_Heat_-_Logo.svg/1200px-Miami_Heat_-_Logo.svg.png,12491,17,F,14,5,9,55.6,2,2,100,5,9,55.6,0,2,2,0,0,0,1,0,+3,
,,,,3453,Nikola,Jovic,20,Miami Heat,Heat,MIA,https://upload.wikimedia.org/wikipedia/fr/thumb/1/1c/Miami_Heat_-_Logo.svg/1200px-Miami_Heat_-_Logo.svg.png,12491,2,F,7,0,1,0,2,2,100,0,1,0,0,2,2,1,1,0,0,1,-9,
,,,,753,Thomas,Bryant,20,Miami Heat,Heat,MIA,https://upload.wikimedia.org/wikipedia/fr/thumb/1/1c/Miami_Heat_-_Logo.svg/1200px-Miami_Heat_-_Logo.svg.png,12491,15,C,19,4,7,57.1,7,7,100,0,1,0,3,5,8,2,1,1,0,1,+10,
,,,,3482,Orlando,Robinson,20,Miami Heat,Heat,MIA,https://upload.wikimedia.org/wikipedia/fr/thumb/1/1c/Miami_Heat_-_Logo.svg/1200px-Miami_Heat_-_Logo.svg.png,12491,9,C,14,4,9,44.4,0,0,0,1,2,50,2,3,5,2,4,1,0,1,+3,
,,,,3360,Dru,Smith,20,Miami Heat,Heat,MIA,https://upload.wikimedia.org/wikipedia/fr/thumb/1/1c/Miami_Heat_-_Logo.svg/1200px-Miami_Heat_-_Logo.svg.png,12491,2,G,18,0,6,0,2,2,100,0,2,0,0,0,0,3,5,4,3,1,-10,
,,,,4046,Jaime Jr.,Jaquez,20,Miami Heat,Heat,MIA,https://upload.wikimedia.org/wikipedia/fr/thumb/1/1c/Miami_Heat_-_Logo.svg/1200px-Miami_Heat_-_Logo.svg.png,12491,13,G,24,5,8,62.5,3,4,75,0,1,0,0,7,7,2,1,0,2,0,+1,
,,,,2597,R.J.,Hampton,20,Miami Heat,Heat,MIA,https://upload.wikimedia.org/wikipedia/fr/thumb/1/1c/Miami_Heat_-_Logo.svg/1200px-Miami_Heat_-_Logo.svg.png,12491,0,G,14,0,1,0,0,0,0,0,0,0,0,3,3,3,1,0,2,0,+3,
,,,,1018,Duncan,Robinson,20,Miami Heat,Heat,MIA,https://upload.wikimedia.org/wikipedia/fr/thumb/1/1c/Miami_Heat_-_Logo.svg/1200px-Miami_Heat_-_Logo.svg.png,12508,14,F,21,4,9,44.4,3,6,50,3,8,37.5,1,1,2,5,2,1,0,0,+2,
,,,,3424,Jamal,Cain,20,Miami Heat,Heat,MIA,https://upload.wikimedia.org/wikipedia/fr/thumb/1/1c/Miami_Heat_-_Logo.svg/1200px-Miami_Heat_-_Logo.svg.png,12508,24,F,27,9,14,64.3,0,0,0,6,8,75,6,4,10,1,0,0,1,0,-3,
,,,,1815,Haywood,Highsmith,20,Miami Heat,Heat,MIA,https://upload.wikimedia.org/wikipedia/fr/thumb/1/1c/Miami_Heat_-_Logo.svg/1200px-Miami_Heat_-_Logo.svg.png,12508,6,F,22,2,9,22.2,0,0,0,2,5,40,1,0,1,3,1,3,0,0,-1,
,,,,753,Thomas,Bryant,20,Miami Heat,Heat,MIA,https://upload.wikimedia.org/wikipedia/fr/thumb/1/1c/Miami_Heat_-_Logo.svg/1200px-Miami_Heat_-_Logo.svg.png,12508,4,C,20,2,5,40,0,0,0,0,0,0,2,3,5,1,3,0,3,0,+1,
,,,,3360,Dru,Smith,20,Miami Heat,Heat,MIA,https://upload.wikimedia.org/wikipedia/fr/thumb/1/1c/Miami_Heat_-_Logo.svg/1200px-Miami_Heat_-_Logo.svg.png,12508,13,G,26,5,10,50,3,3,100,0,1,0,1,2,3,3,3,0,5,0,+1,
