get,parameters.team,parameters.season,results,response.player.id,response.player.firstname,response.player.lastname,response.team.id,response.team.name,response.team.nickname,response.team.code,response.team.logo,response.game.id,response.points,response.pos,response.min,response.fgm,response.fga,response.fgp,response.ftm,response.fta,response.ftp,response.tpm,response.tpa,response.tpp,response.offReb,response.defReb,response.totReb,response.assists,response.pFouls,response.steals,response.turnovers,response.blocks,response.plusMinus,response.comment
players/statistics,21,2023,1051,121,Jae,Crowder,21,Milwaukee Bucks,Bucks,MIL,https://upload.wikimedia.org/wikipedia/fr/3/34/Bucks2015.png,12480,10,PF,20,4,7,57.1,0,0,0,2,4,50,1,3,4,1,0,1,2,0,-1,
,,,,431,Bobby,Portis,21,Milwaukee Bucks,Bucks,MIL,https://upload.wikimedia.org/wikipedia/fr/3/34/Bucks2015.png,12480,8,F,12,4,5,80,0,0,0,0,0,0,0,4,4,2,0,0,0,0,-2,
,,,,323,Brook,Lopez,21,Milwaukee Bucks,Bucks,MIL,https://upload.wikimedia.org/wikipedia/fr/3/34/Bucks2015.png,12480,11,C,12,4,8,50,0,0,0,3,5,60,0,3,3,0,0,0,0,0,-2,
,,,,46,Malik,Beasley,21,Milwaukee Bucks,Bucks,MIL,https://upload.wikimedia.org/wikipedia/fr/3/34/Bucks2015.png,12480,13,SG,22,5,10,50,0,0,0,3,7,42.9,0,0,0,4,2,2,3,0,+5,
,,,,2034,Lindell,Wigginton,21,Milwaukee Bucks,Bucks,MIL,https://upload.wikimedia.org/wikipedia/fr/3/34/Bucks2015.png,12480,2,G,25,1,7,14.3,0,0,0,0,4,0,0,3,3,3,1,3,4,1,-5,
,,,,3999,Drew,Timme,21,Milwaukee Bucks,Bucks,MIL,https://upload.wikimedia.org/wikipedia/fr/3/34/Bucks2015.png,12480,2,F,4,1,2,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6,
,,,,3405,MarJon,Beauchamp,21,Milwaukee Bucks,Bucks,MIL,https://upload.wikimedia.org/wikipedia/fr/3/34/Bucks2015.png,12480,18,F,28,5,11,45.5,7,8,87.5,1,3,33.3,2,7,9,3,2,0,3,0,+4,
,,,,2408,Thanasis,Antetokounmpo,21,Milwaukee Bucks,Bucks,MIL,https://upload.wikimedia.org/wikipedia/fr/3/34/Bucks2015.png,12480,14,SF,21,6,8,75,2,2,100,0,0,0,0,5,5,1,4,0,1,2,+6,
,,,,325,Robin,Lopez,21,Milwaukee Bucks,Bucks,MIL,https://upload.wikimedia.org/wikipedia/fr/3/34/Bucks2015.png,12480,6,C,19,3,6,50,0,0,0,0,1,0,0,0,0,2,2,0,0,2,+5,
,,,,2482,Marques,Bolden,21,Milwaukee Bucks,Bucks,MIL,https://upload.wikimedia.org/wikipedia/fr/3/34/Bucks2015.png,12480,3,C,16,1,1,100,1,2,50,0,0,0,2,2,4,0,0,1,1,2,0,
,,,,115,Pat,Connaughton,21,Milwaukee Bucks,Bucks,MIL,https://upload.wikimedia.org/wikipedia/fr/3/34/Bucks2015.png,12480,8,SG,20,3,8,37.5,1,2,50,1,4,25,2,6,8,2,0,0,1,0,-7,
,,,,4047,Andre Jr.,Jackson,21,Milwaukee Bucks,Bucks,MIL,https://upload.wikimedia.org/wikipedia/fr/3/34/Bucks2015.png,12480,4,G,17,2,5,40,0,0,0,0,1,0,0,4,4,3,2,1,1,1,+10,
,,,,3497,TyTy,Washington Jr.,21,Milwaukee Bucks,Bucks,MIL,https://upload.wikimedia.org/wikipedia/fr/3/34/Bucks2015.png,12480,6,G,23,2,7,28.6,2,2,100,0,4,0,0,2,2,7,0,0,1,0,+8,
,,,,121,Jae,Crowder,21,Milwaukee Bucks,Bucks,MIL,https://upload.wikimedia.org/wikipedia/fr/3/34/Bucks2015.png,12493,14,PF,21,6,11,54.5,0,0,0,2,7,28.6,0,3,3,2,0,1,1,0,-8,
