get,parameters.team,parameters.season,results,response.player.id,response.player.firstname,response.player.lastname,response.team.id,response.team.name,response.team.nickname,response.team.code,response.team.logo,response.game.id,response.points,response.pos,response.min,response.fgm,response.fga,response.fgp,response.ftm,response.fta,response.ftp,response.tpm,response.tpa,response.tpp,response.offReb,response.defReb,response.totReb,response.assists,response.pFouls,response.steals,response.turnovers,response.blocks,response.plusMinus,response.comment
players/statistics,22,2023,1128,192,Rudy,Gobert,22,Minnesota Timberwolves,Timberwolves,MIN,https://upload.wikimedia.org/wikipedia/fr/thumb/d/d9/Timberwolves_du_Minnesota_logo_2017.png/200px-Timberwolves_du_Minnesota_logo_2017.png,12478,7,C,17,3,3,100,1,2,50,0,0,0,0,5,5,0,0,0,0,1,+16,
,,,,519,Karl-Anthony,Towns,22,Minnesota Timberwolves,Timberwolves,MIN,https://upload.wikimedia.org/wikipedia/fr/thumb/d/d9/Timberwolves_du_Minnesota_logo_2017.png/200px-Timberwolves_du_Minnesota_logo_2017.png,12478,14,C,18,4,9,44.4,5,5,100,1,3,33.3,0,3,3,2,3,2,2,1,+2,
,,,,114,Mike,Conley,22,Minnesota Timberwolves,Timberwolves,MIN,https://upload.wikimedia.org/wikipedia/fr/thumb/d/d9/Timberwolves_du_Minnesota_logo_2017.png/200px-Timberwolves_du_Minnesota_logo_2017.png,12478,4,PG,7,1,1,100,1,1,100,1,1,100,0,2,2,1,0,0,1,0,+5,
,,,,1845,Nickeil,Alexander-Walker,22,Minnesota Timberwolves,Timberwolves,MIN,https://upload.wikimedia.org/wikipedia/fr/thumb/d/d9/Timberwolves_du_Minnesota_logo_2017.png/200px-Timberwolves_du_Minnesota_logo_2017.png,12478,6,SG,16,2,6,33.3,0,0,0,2,4,50,0,2,2,0,3,1,0,1,-3,
,,,,2584,Anthony,Edwards,22,Minnesota Timberwolves,Timberwolves,MIN,https://upload.wikimedia.org/wikipedia/fr/thumb/d/d9/Timberwolves_du_Minnesota_logo_2017.png/200px-Timberwolves_du_Minnesota_logo_2017.png,12478,13,SG,17,4,9,44.4,3,4,75,2,3,66.7,0,2,2,3,1,0,1,1,+3,
,,,,3195,Matt,Ryan,22,Minnesota Timberwolves,Timberwolves,MIN,https://upload.wikimedia.org/wikipedia/fr/thumb/d/d9/Timberwolves_du_Minnesota_logo_2017.png/200px-Timberwolves_du_Minnesota_logo_2017.png,12478,0,F,11,0,6,0,0,0,0,0,2,0,1,1,2,2,2,0,2,0,-6,
,,,,2608,Vit,Krejci,22,Minnesota Timberwolves,Timberwolves,MIN,https://upload.wikimedia.org/wikipedia/fr/thumb/d/d9/Timberwolves_du_Minnesota_logo_2017.png/200px-Timberwolves_du_Minnesota_logo_2017.png,12478,4,F,7,1,1,100,1,2,50,1,1,100,0,2,2,1,0,0,0,0,-3,
,,,,3470,Josh,Minott,22,Minnesota Timberwolves,Timberwolves,MIN,https://upload.wikimedia.org/wikipedia/fr/thumb/d/d9/Timberwolves_du_Minnesota_logo_2017.png/200px-Timberwolves_du_Minnesota_logo_2017.png,12478,4,F,17,2,4,50,0,0,0,0,0,0,3,1,4,1,3,0,0,0,-6,
,,,,4001,Leonard,Miller,22,Minnesota Timberwolves,Timberwolves,MIN,https://upload.wikimedia.org/wikipedia/fr/thumb/d/d9/Timberwolves_du_Minnesota_logo_2017.png/200px-Timberwolves_du_Minnesota_logo_2017.png,12478,10,F,14,4,8,50,0,0,0,2,3,66.7,1,0,1,1,3,2,4,1,-1,
,,,,18,Kyle,Anderson,22,Minnesota Timberwolves,Timberwolves,MIN,https://upload.wikimedia.org/wikipedia/fr/thumb/d/d9/Timberwolves_du_Minnesota_logo_2017.png/200px-Timberwolves_du_Minnesota_logo_2017.png,12478,2,SF,17,1,4,25,0,0,0,0,1,0,0,0,0,2,0,0,1,1,+12,
