get,parameters.team,parameters.season,results,response.player.id,response.player.firstname,response.player.lastname,response.team.id,response.team.name,response.team.nickname,response.team.code,response.team.logo,response.game.id,response.points,response.pos,response.min,response.fgm,response.fga,response.fgp,response.ftm,response.fta,response.ftp,response.tpm,response.tpa,response.tpp,response.offReb,response.defReb,response.totReb,response.assists,response.pFouls,response.steals,response.turnovers,response.blocks,response.plusMinus,response.comment
players/statistics,23,2023,1000,1902,Zion,Williamson,23,New Orleans Pelicans,Pelicans,NOP,https://upload.wikimedia.org/wikipedia/fr/thumb/2/21/New_Orleans_Pelicans.png/200px-New_Orleans_Pelicans.png,12494,12,PF,15,4,8,50,4,6,66.7,0,0,0,0,5,5,5,2,0,2,0,+5,
,,,,260,Brandon,Ingram,23,New Orleans Pelicans,Pelicans,NOP,https://upload.wikimedia.org/wikipedia/fr/thumb/2/21/New_Orleans_Pelicans.png/200px-New_Orleans_Pelicans.png,12494,14,SF,17,6,12,50,1,2,50,1,3,33.3,1,3,4,2,0,1,4,0,-4,
,,,,2822,Herbert,Jones,23,New Orleans Pelicans,Pelicans,NOP,https://upload.wikimedia.org/wikipedia/fr/thumb/2/21/New_Orleans_Pelicans.png/200px-New_Orleans_Pelicans.png,12494,11,SF,16,4,7,57.1,1,1,100,2,3,66.7,2,3,5,0,3,0,1,1,-2,
,,,,525,Jonas,Valanciunas,23,New Orleans Pelicans,Pelicans,NOP,https://upload.wikimedia.org/wikipedia/fr/thumb/2/21/New_Orleans_Pelicans.png/200px-New_Orleans_Pelicans.png,12494,7,C,19,2,6,33.3,3,3,100,0,1,0,3,8,11,2,3,1,1,2,-7,
,,,,347,CJ,McCollum,23,New Orleans Pelicans,Pelicans,NOP,https://upload.wikimedia.org/wikipedia/fr/thumb/2/21/New_Orleans_Pelicans.png/200px-New_Orleans_Pelicans.png,12494,12,SG,16,4,9,44.4,2,2,100,2,6,33.3,1,0,1,1,0,0,0,1,+4,
,,,,1071,Kaiser,Gates,23,New Orleans Pelicans,Pelicans,NOP,https://upload.wikimedia.org/wikipedia/fr/thumb/2/21/New_Orleans_Pelicans.png/200px-New_Orleans_Pelicans.png,12494,0,F,7,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,-4,
,,,,3462,E.J.,Liddell,23,New Orleans Pelicans,Pelicans,NOP,https://upload.wikimedia.org/wikipedia/fr/thumb/2/21/New_Orleans_Pelicans.png/200px-New_Orleans_Pelicans.png,12494,2,F,17,1,3,33.3,0,0,0,0,1,0,2,4,6,0,3,1,1,0,-19,
,,,,2668,Naji,Marshall,23,New Orleans Pelicans,Pelicans,NOP,https://upload.wikimedia.org/wikipedia/fr/thumb/2/21/New_Orleans_Pelicans.png/200px-New_Orleans_Pelicans.png,12494,3,SF,20,0,5,0,3,4,75,0,4,0,0,1,1,3,1,3,1,0,0,
,,,,4003,Trey,Jemison,23,New Orleans Pelicans,Pelicans,NOP,https://upload.wikimedia.org/wikipedia/fr/thumb/2/21/New_Orleans_Pelicans.png/200px-New_Orleans_Pelicans.png,12494,3,C,18,1,2,50,1,2,50,0,0,0,2,4,6,0,1,0,1,2,0,
,,,,2611,Kira,Lewis Jr.,23,New Orleans Pelicans,Pelicans,NOP,https://upload.wikimedia.org/wikipedia/fr/thumb/2/21/New_Orleans_Pelicans.png/200px-New_Orleans_Pelicans.png,12494,9,PG,23,4,10,40,0,0,0,1,4,25,1,1,2,1,2,2,0,0,-19,
