get,parameters.team,parameters.season,results,response.player.id,response.player.firstname,response.player.lastname,response.team.id,response.team.name,response.team.nickname,response.team.code,response.team.logo,response.game.id,response.points,response.pos,response.min,response.fgm,response.fga,response.fgp,response.ftm,response.fta,response.ftp,response.tpm,response.tpa,response.tpp,response.offReb,response.defReb,response.totReb,response.assists,response.pFouls,response.steals,response.turnovers,response.blocks,response.plusMinus,response.comment
players/statistics,24,2023,1021,441,Julius,Randle,24,New York Knicks,Knicks,NYK,https://upload.wikimedia.org/wikipedia/fr/3/34/Knicks_de_NY.png,12486,11,PF,13,3,4,75,4,4,100,1,2,50,1,3,4,0,0,0,1,0,+10,
,,,,1020,Mitchell,Robinson,24,New York Knicks,Knicks,NYK,https://upload.wikimedia.org/wikipedia/fr/3/34/Knicks_de_NY.png,12486,10,C,23,5,6,83.3,0,3,0,0,0,0,4,3,7,0,0,2,0,3,+11,
,,,,946,Jalen,Brunson,24,New York Knicks,Knicks,NYK,https://upload.wikimedia.org/wikipedia/fr/3/34/Knicks_de_NY.png,12486,10,PG,6,4,5,80,1,2,50,1,1,100,0,0,0,1,0,0,0,0,+7,
,,,,1846,RJ,Barrett,24,New York Knicks,Knicks,NYK,https://upload.wikimedia.org/wikipedia/fr/3/34/Knicks_de_NY.png,12486,12,SG,16,1,6,16.7,9,9,100,1,5,20,0,2,2,2,0,0,0,0,+17,
,,,,2811,Quentin,Grimes,24,New York Knicks,Knicks,NYK,https://upload.wikimedia.org/wikipedia/fr/3/34/Knicks_de_NY.png,12486,6,SG,22,2,6,33.3,0,0,0,2,5,40,0,3,3,4,0,1,3,0,+14,
,,,,2607,Nathan,Knight,24,New York Knicks,Knicks,NYK,https://upload.wikimedia.org/wikipedia/fr/3/34/Knicks_de_NY.png,12486,3,F,5,1,1,100,1,2,50,0,0,0,0,1,1,0,1,0,0,0,-5,
,,,,4007,Jacob,Toppin,24,New York Knicks,Knicks,NYK,https://upload.wikimedia.org/wikipedia/fr/3/34/Knicks_de_NY.png,12486,4,F,10,1,3,33.3,2,2,100,0,2,0,0,2,2,0,0,0,0,2,-2,
,,,,978,Isaiah,Hartenstein,24,New York Knicks,Knicks,NYK,https://upload.wikimedia.org/wikipedia/fr/3/34/Knicks_de_NY.png,12486,9,C,20,3,5,60,3,4,75,0,2,0,0,3,3,3,2,0,4,1,+1,
,,,,2849,Jericho,Sims,24,New York Knicks,Knicks,NYK,https://upload.wikimedia.org/wikipedia/fr/3/34/Knicks_de_NY.png,12486,0,C,26,0,1,0,0,0,0,0,0,0,2,5,7,3,3,0,0,1,-1,
,,,,2832,Miles,McBride,24,New York Knicks,Knicks,NYK,https://upload.wikimedia.org/wikipedia/fr/3/34/Knicks_de_NY.png,12486,6,PG,19,3,10,30,0,0,0,0,4,0,0,3,3,4,2,0,1,0,0,
,,,,177,Evan,Fournier,24,New York Knicks,Knicks,NYK,https://upload.wikimedia.org/wikipedia/fr/3/34/Knicks_de_NY.png,12486,11,SG,21,4,10,40,0,0,0,3,7,42.9,1,2,3,1,4,1,0,0,-5,
,,,,1948,DaQuan,Jeffries,24,New York Knicks,Knicks,NYK,https://upload.wikimedia.org/wikipedia/fr/3/34/Knicks_de_NY.png,12486,3,SG,12,1,4,25,0,0,0,1,3,33.3,0,0,0,0,0,0,0,0,+1,
,,,,962,Donte,DiVincenzo,24,New York Knicks,Knicks,NYK,https://upload.wikimedia.org/wikipedia/fr/3/34/Knicks_de_NY.png,12486,8,SG,23,2,8,25,2,2,100,2,5,40,0,3,3,2,2,0,1,0,-11,
,,,,2636,Immanuel,Quickley,24,New York Knicks,Knicks,NYK,https://upload.wikimedia.org/wikipedia/fr/3/34/Knicks_de_NY.png,12486,21,SG,23,8,14,57.1,3,5,60,2,5,40,1,0,1,3,3,3,3,0,0,
,,,,2111,Charlie,Brown Jr.,24,New York Knicks,Knicks,NYK,https://upload.wikimedia.org/wikipedia/fr/3/34/Knicks_de_NY.png,12486,0,G,3,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,-2,
,,,,441,Julius,Randle,24,New York Knicks,Knicks,NYK,https://upload.wikimedia.org/wikipedia/fr/3/34/Knicks_de_NY.png,12511,7,PF,23,2,8,25,1,4,25,2,5,40,0,8,8,4,2,0,2,0,+11,
,,,,1020,Mitchell,Robinson,24,New York Knicks,Knicks,NYK,https://upload.wikimedia.org/wikipedia/fr/3/34/Knicks_de_NY.png,12511,8,C,21,4,4,100,0,0,0,0,0,0,3,4,7,0,4,0,1,1,+5,
,,,,946,Jalen,Brunson,24,New York Knicks,Knicks,NYK,https://upload.wikimedia.org/wikipedia/fr/3/34/Knicks_de_NY.png,12511,9,PG,14,1,5,20,7,7,100,0,0,0,0,2,2,4,0,1,0,0,+15,
,,,,1846,RJ,Barrett,24,New York Knicks,Knicks,NYK,https://upload.wikimedia.org/wikipedia/fr/3/34/Knicks_de_NY.png,12511,23,SG,26,6,15,40,9,12,75,2,8,25,1,1,2,2,0,2,3,0,+1,
,,,,2811,Quentin,Grimes,24,New York Knicks,Knicks,NYK,https://upload.wikimedia.org/wikipedia/fr/3/34/Knicks_de_NY.png,12511,4,SG,22,2,5,40,0,0,0,0,3,0,0,3,3,1,1,2,1,0,-6,
,,,,1890,Isaiah,Roby,24,New York Knicks,Knicks,NYK,https://upload.wikimedia.org/wikipedia/fr/3/34/Knicks_de_NY.png,12511,5,F,11,2,5,40,1,2,50,0,2,0,0,2,2,2,2,1,0,1,-3,
,,,,978,Isaiah,Hartenstein,24,New York Knicks,Knicks,NYK,https://upload.wikimedia.org/wikipedia/fr/3/34/Knicks_de_NY.png,12511,7,C,16,3,5,60,0,0,0,1,1,100,1,3,4,1,1,1,2,0,-11,
,,,,2849,Jericho,Sims,24,New York Knicks,Knicks,NYK,https://upload.wikimedia.org/wikipedia/fr/3/34/Knicks_de_NY.png,12511,2,C,14,1,1,100,0,0,0,0,0,0,2,0,2,0,1,0,0,0,-16,
,,,,2832,Miles,McBride,24,New York Knicks,Knicks,NYK,https://upload.wikimedia.org/wikipedia/fr/3/34/Knicks_de_NY.png,12511,16,PG,11,6,6,100,0,0,0,4,4,100,0,1,1,2,1,1,2,0,-3,
,,,,177,Evan,Fournier,24,New York Knicks,Knicks,NYK,https://upload.wikimedia.org/wikipedia/fr/3/34/Knicks_de_NY.png,12511,15,SG,19,6,10,60,0,0,0,3,6,50,1,3,4,0,0,0,1,0,-15,
,,,,791,Josh,Hart,24,New York Knicks,Knicks,NYK,https://upload.wikimedia.org/wikipedia/fr/3/34/Knicks_de_NY.png,12511,3,SG,8,1,2,50,0,0,0,1,1,100,0,1,1,1,0,0,1,0,-9,
,,,,1903,Dylan,Windler,24,New York Knicks,Knicks,NYK,https://upload.wikimedia.org/wikipedia/fr/3/34/Knicks_de_NY.png,12511,0,SG,6,0,2,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,
,,,,962,Donte,DiVincenzo,24,New York Knicks,Knicks,NYK,https://upload.wikimedia.org/wikipedia/fr/3/34/Knicks_de_NY.png,12511,4,SG,20,2,3,66.7,0,0,0,0,1,0,0,3,3,3,2,2,1,0,-3,
,,,,2636,Immanuel,Quickley,24,New York Knicks,Knicks,NYK,https://upload.wikimedia.org/wikipedia/fr/3/34/Knicks_de_NY.png,12511,9,SG,22,2,8,25,5,5,100,0,2,0,0,0,0,1,3,3,2,0,-21,
,,,,2111,Charlie,Brown Jr.,24,New York Knicks,Knicks,NYK,https://upload.wikimedia.org/wikipedia/fr/3/34/Knicks_de_NY.png,12511,0,G,3,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,+5,
,,,,4006,Jaylen,Martin,24,New York Knicks,Knicks,NYK,https://upload.wikimedia.org/wikipedia/fr/3/34/Knicks_de_NY.png,12511,0,G,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,+5,
,,,,441,Julius,Randle,24,New York Knicks,Knicks,NYK,https://upload.wikimedia.org/wikipedia/fr/3/34/Knicks_de_NY.png,12532,20,PF,29,8,15,53.3,0,2,0,4,6,66.7,2,8,10,0,1,0,1,0,-8,
,,,,1020,Mitchell,Robinson,24,New York Knicks,Knicks,NYK,https://upload.wikimedia.org/wikipedia/fr/3/34/Knicks_de_NY.png,12532,12,C,24,6,9,66.7,0,2,0,0,0,0,6,5,11,0,0,2,0,0,+2,
,,,,946,Jalen,Brunson,24,New York Knicks,Knicks,NYK,https://upload.wikimedia.org/wikipedia/fr/3/34/Knicks_de_NY.png,12532,12,PG,25,3,12,25,5,6,83.3,1,5,20,2,4,6,5,2,0,5,0,0,
,,,,1846,RJ,Barrett,24,New York Knicks,Knicks,NYK,https://upload.wikimedia.org/wikipedia/fr/3/34/Knicks_de_NY.png,12532,19,SG,34,8,19,42.1,0,0,0,3,8,37.5,0,7,7,3,3,0,2,0,-11,
,,,,2811,Quentin,Grimes,24,New York Knicks,Knicks,NYK,https://upload.wikimedia.org/wikipedia/fr/3/34/Knicks_de_NY.png,12532,5,SG,17,1,4,25,2,3,66.7,1,4,25,0,0,0,1,3,0,0,0,+4,
,,,,978,Isaiah,Hartenstein,24,New York Knicks,Knicks,NYK,https://upload.wikimedia.org/wikipedia/fr/3/34/Knicks_de_NY.png,12532,9,C,18,4,8,50,1,2,50,0,1,0,4,1,5,2,2,1,1,0,-18,
,,,,2849,Jericho,Sims,24,New York Knicks,Knicks,NYK,https://upload.wikimedia.org/wikipedia/fr/3/34/Knicks_de_NY.png,12532,0,C,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-9,
,,,,2832,Miles,McBride,24,New York Knicks,Knicks,NYK,https://upload.wikimedia.org/wikipedia/fr/3/34/Knicks_de_NY.png,12532,5,PG,23,2,7,28.6,0,2,0,1,4,25,0,0,0,5,0,1,0,0,-25,
,,,,177,Evan,Fournier,24,New York Knicks,Knicks,NYK,https://upload.wikimedia.org/wikipedia/fr/3/34/Knicks_de_NY.png,12532,6,SG,14,2,5,40,2,2,100,0,2,0,0,0,0,0,1,0,0,0,-14,
,,,,791,Josh,Hart,24,New York Knicks,Knicks,NYK,https://upload.wikimedia.org/wikipedia/fr/3/34/Knicks_de_NY.png,12532,8,SG,19,2,3,66.7,2,2,100,2,3,66.7,0,5,5,3,2,1,4,0,-16,
,,,,1948,DaQuan,Jeffries,24,New York Knicks,Knicks,NYK,https://upload.wikimedia.org/wikipedia/fr/3/34/Knicks_de_NY.png,12532,0,SG,4,0,2,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,-5,
,,,,962,Donte,DiVincenzo,24,New York Knicks,Knicks,NYK,https://upload.wikimedia.org/wikipedia/fr/3/34/Knicks_de_NY.png,12532,7,SG,24,3,7,42.9,0,0,0,1,3,33.3,0,2,2,0,2,0,2,0,-23,
,,,,2111,Charlie,Brown Jr.,24,New York Knicks,Knicks,NYK,https://upload.wikimedia.org/wikipedia/fr/3/34/Knicks_de_NY.png,12532,3,G,3,1,1,100,0,0,0,1,1,100,0,1,1,0,0,0,0,0,-2,
,,,,2849,Jericho,Sims,24,New York Knicks,Knicks,NYK,https://upload.wikimedia.org/wikipedia/fr/3/34/Knicks_de_NY.png,12526,2,C,32,1,2,50,0,0,0,0,0,0,2,8,10,3,1,1,2,3,-2,
,,,,1020,Mitchell,Robinson,24,New York Knicks,Knicks,NYK,https://upload.wikimedia.org/wikipedia/fr/3/34/Knicks_de_NY.png,12526,12,C,21,5,6,83.3,2,4,50,0,0,0,4,3,7,1,0,3,0,0,+2,
,,,,2832,Miles,McBride,24,New York Knicks,Knicks,NYK,https://upload.wikimedia.org/wikipedia/fr/3/34/Knicks_de_NY.png,12526,16,PG,33,6,18,33.3,2,2,100,2,8,25,1,1,2,6,3,4,3,0,-8,
,,,,962,Donte,DiVincenzo,24,New York Knicks,Knicks,NYK,https://upload.wikimedia.org/wikipedia/fr/3/34/Knicks_de_NY.png,12526,15,SG,25,3,12,25,6,6,100,3,10,30,0,3,3,3,3,1,6,0,-1,
,,,,2811,Quentin,Grimes,24,New York Knicks,Knicks,NYK,https://upload.wikimedia.org/wikipedia/fr/3/34/Knicks_de_NY.png,12526,22,SG,26,7,13,53.8,1,2,50,7,12,58.3,0,2,2,3,0,1,0,0,+6,
,,,,1890,Isaiah,Roby,24,New York Knicks,Knicks,NYK,https://upload.wikimedia.org/wikipedia/fr/3/34/Knicks_de_NY.png,12526,11,F,16,4,6,66.7,0,0,0,3,4,75,2,1,3,1,3,0,0,0,-11,
,,,,2607,Nathan,Knight,24,New York Knicks,Knicks,NYK,https://upload.wikimedia.org/wikipedia/fr/3/34/Knicks_de_NY.png,12526,1,F,4,0,0,0,1,2,50,0,0,0,0,0,0,1,0,0,0,1,-4,
,,,,978,Isaiah,Hartenstein,24,New York Knicks,Knicks,NYK,https://upload.wikimedia.org/wikipedia/fr/3/34/Knicks_de_NY.png,12526,13,C,23,6,11,54.5,0,0,0,1,3,33.3,4,4,8,2,3,1,2,0,-11,
,,,,177,Evan,Fournier,24,New York Knicks,Knicks,NYK,https://upload.wikimedia.org/wikipedia/fr/3/34/Knicks_de_NY.png,12526,10,SG,22,3,10,30,3,4,75,1,4,25,0,2,2,1,2,0,0,0,-19,
