get,parameters.team,parameters.season,results,response.player.id,response.player.firstname,response.player.lastname,response.team.id,response.team.name,response.team.nickname,response.team.code,response.team.logo,response.game.id,response.points,response.pos,response.min,response.fgm,response.fga,response.fgp,response.ftm,response.fta,response.ftp,response.tpm,response.tpa,response.tpp,response.offReb,response.defReb,response.totReb,response.assists,response.pFouls,response.steals,response.turnovers,response.blocks,response.plusMinus,response.comment
players/statistics,26,2023,1102,3414,Paolo,Banchero,26,Orlando Magic,Magic,ORL,https://upload.wikimedia.org/wikipedia/fr/b/bd/Orlando_Magic_logo_2010.png,12494,12,PF,20,4,9,44.4,4,6,66.7,0,1,0,1,5,6,1,3,2,0,1,+8,
,,,,2858,Franz,Wagner,26,Orlando Magic,Magic,ORL,https://upload.wikimedia.org/wikipedia/fr/b/bd/Orlando_Magic_logo_2010.png,12494,9,SF,15,4,6,66.7,0,0,0,1,2,50,0,1,1,2,2,0,0,0,+9,
,,,,950,Wendell,Carter Jr.,26,Orlando Magic,Magic,ORL,https://upload.wikimedia.org/wikipedia/fr/b/bd/Orlando_Magic_logo_2010.png,12494,18,C,19,5,10,50,4,6,66.7,4,5,80,0,5,5,1,2,1,3,1,+14,
,,,,779,Markelle,Fultz,26,Orlando Magic,Magic,ORL,https://upload.wikimedia.org/wikipedia/fr/b/bd/Orlando_Magic_logo_2010.png,12494,10,PG,20,5,7,71.4,0,0,0,0,0,0,1,3,4,5,0,1,1,0,+8,
,,,,2852,Jalen,Suggs,26,Orlando Magic,Magic,ORL,https://upload.wikimedia.org/wikipedia/fr/b/bd/Orlando_Magic_logo_2010.png,12494,6,SG,17,2,6,33.3,1,2,50,1,5,20,1,4,5,3,3,1,1,0,+13,
,,,,801,Jonathan,Isaac,26,Orlando Magic,Magic,ORL,https://upload.wikimedia.org/wikipedia/fr/b/bd/Orlando_Magic_logo_2010.png,12494,7,PF,8,2,7,28.6,2,3,66.7,1,2,50,0,1,1,0,1,1,0,2,-1,
,,,,1883,Chuma,Okeke,26,Orlando Magic,Magic,ORL,https://upload.wikimedia.org/wikipedia/fr/b/bd/Orlando_Magic_logo_2010.png,12494,5,PF,12,2,5,40,0,0,0,1,4,25,0,3,3,1,0,0,0,0,+6,
,,,,899,D.J.,Wilson,26,Orlando Magic,Magic,ORL,https://upload.wikimedia.org/wikipedia/fr/b/bd/Orlando_Magic_logo_2010.png,12494,0,F,6,0,1,0,0,0,0,0,0,0,0,3,3,1,0,0,0,0,+7,
,,,,1892,Admiral,Schofield,26,Orlando Magic,Magic,ORL,https://upload.wikimedia.org/wikipedia/fr/b/bd/Orlando_Magic_logo_2010.png,12494,5,SF,13,2,4,50,0,0,0,1,2,50,2,3,5,1,2,0,1,0,-1,
,,,,1037,Moritz,Wagner,26,Orlando Magic,Magic,ORL,https://upload.wikimedia.org/wikipedia/fr/b/bd/Orlando_Magic_logo_2010.png,12494,6,C,14,2,4,50,2,3,66.7,0,1,0,1,4,5,0,2,1,0,0,-5,
,,,,1848,Goga,Bitadze,26,Orlando Magic,Magic,ORL,https://upload.wikimedia.org/wikipedia/fr/b/bd/Orlando_Magic_logo_2010.png,12494,7,C,9,2,4,50,2,2,100,1,2,50,2,2,4,0,2,0,0,2,+1,
,,,,2563,Cole,Anthony,26,Orlando Magic,Magic,ORL,https://upload.wikimedia.org/wikipedia/fr/b/bd/Orlando_Magic_logo_2010.png,12494,13,PG,15,5,10,50,1,1,100,2,4,50,1,2,3,4,0,0,0,0,-4,
,,,,220,Gary,Harris,26,Orlando Magic,Magic,ORL,https://upload.wikimedia.org/wikipedia/fr/b/bd/Orlando_Magic_logo_2010.png,12494,2,SG,15,0,4,0,2,2,100,0,4,0,2,0,2,2,3,0,1,1,-3,
,,,,2833,Mac,McClung,26,Orlando Magic,Magic,ORL,https://upload.wikimedia.org/wikipedia/fr/b/bd/Orlando_Magic_logo_2010.png,12494,3,SG,6,1,1,100,1,1,100,0,0,0,0,1,1,2,1,0,0,1,+9,
,,,,2671,Trevelin,Queen,26,Orlando Magic,Magic,ORL,https://upload.wikimedia.org/wikipedia/fr/b/bd/Orlando_Magic_logo_2010.png,12494,9,SG,12,4,9,44.4,0,0,0,1,4,25,2,1,3,4,1,0,1,0,+16,
