get,parameters.team,parameters.season,results,response.player.id,response.player.firstname,response.player.lastname,response.team.id,response.team.name,response.team.nickname,response.team.code,response.team.logo,response.game.id,response.points,response.pos,response.min,response.fgm,response.fga,response.fgp,response.ftm,response.fta,response.ftp,response.tpm,response.tpa,response.tpp,response.offReb,response.defReb,response.totReb,response.assists,response.pFouls,response.steals,response.turnovers,response.blocks,response.plusMinus,response.comment
players/statistics,27,2023,1033,520,P.J.,Tucker,27,Philadelphia 76ers,76ers,PHI,https://upload.wikimedia.org/wikipedia/fr/4/48/76ers_2016.png,12482,0,PF,12,0,1,0,0,0,0,0,1,0,0,3,3,3,1,0,1,1,-1,
,,,,222,Tobias,Harris,27,Philadelphia 76ers,76ers,PHI,https://upload.wikimedia.org/wikipedia/fr/4/48/76ers_2016.png,12482,13,PF,22,5,12,41.7,2,2,100,1,3,33.3,0,7,7,0,2,1,2,1,+8,
,,,,2638,Paul,Reed,27,Philadelphia 76ers,76ers,PHI,https://upload.wikimedia.org/wikipedia/fr/4/48/76ers_2016.png,12482,5,SF,23,1,8,12.5,3,4,75,0,1,0,2,3,5,1,4,1,0,1,+9,
,,,,53,Patrick,Beverley,27,Philadelphia 76ers,76ers,PHI,https://upload.wikimedia.org/wikipedia/fr/4/48/76ers_2016.png,12482,12,PG,14,5,7,71.4,0,0,0,2,3,66.7,1,0,1,1,3,0,0,0,+15,
,,,,2619,Tyrese,Maxey,27,Philadelphia 76ers,76ers,PHI,https://upload.wikimedia.org/wikipedia/fr/4/48/76ers_2016.png,12482,24,PG,29,9,17,52.9,3,3,100,3,9,33.3,1,3,4,4,4,1,0,1,-6,
,,,,2839,Filip,Petrusev,27,Philadelphia 76ers,76ers,PHI,https://upload.wikimedia.org/wikipedia/fr/4/48/76ers_2016.png,12482,6,PF,12,3,3,100,0,0,0,0,0,0,1,2,3,2,1,0,0,0,-7,
,,,,203,Danny,Green,27,Philadelphia 76ers,76ers,PHI,https://upload.wikimedia.org/wikipedia/fr/4/48/76ers_2016.png,12482,3,F,15,1,6,16.7,0,0,0,1,5,20,1,0,1,1,0,0,1,0,-10,
,,,,249,Danuel,House Jr.,27,Philadelphia 76ers,76ers,PHI,https://upload.wikimedia.org/wikipedia/fr/4/48/76ers_2016.png,12482,0,SF,16,0,3,0,0,0,0,0,1,0,0,5,5,1,2,1,1,0,-8,
,,,,932,Mo,Bamba,27,Philadelphia 76ers,76ers,PHI,https://upload.wikimedia.org/wikipedia/fr/4/48/76ers_2016.png,12482,7,C,16,3,9,33.3,0,0,0,1,4,25,1,5,6,1,2,1,1,0,-7,
,,,,407,Kelly,Oubre Jr.,27,Philadelphia 76ers,76ers,PHI,https://upload.wikimedia.org/wikipedia/fr/4/48/76ers_2016.png,12482,6,SG,13,2,7,28.6,2,3,66.7,0,3,0,1,3,4,1,1,0,1,0,-3,
,,,,2917,Javonte,Smart,27,Philadelphia 76ers,76ers,PHI,https://upload.wikimedia.org/wikipedia/fr/4/48/76ers_2016.png,12482,6,G,14,2,3,66.7,0,0,0,2,3,66.7,0,1,1,2,0,2,2,0,-5,
,,,,2804,David,Duke Jr.,27,Philadelphia 76ers,76ers,PHI,https://upload.wikimedia.org/wikipedia/fr/4/48/76ers_2016.png,12482,2,G,7,0,2,0,2,2,100,0,0,0,0,0,0,0,0,0,2,0,-9,
,,,,2851,Jaden,Springer,27,Philadelphia 76ers,76ers,PHI,https://upload.wikimedia.org/wikipedia/fr/4/48/76ers_2016.png,12482,14,G,24,5,7,71.4,2,3,66.7,2,2,100,4,1,5,2,2,1,2,1,-1,
,,,,4012,Terquavion,Smith,27,Philadelphia 76ers,76ers,PHI,https://upload.wikimedia.org/wikipedia/fr/4/48/76ers_2016.png,12482,5,G,8,2,6,33.3,0,0,0,1,3,33.3,0,0,0,0,1,1,1,1,-10,
,,,,4049,Ricky IV,Council,27,Philadelphia 76ers,76ers,PHI,https://upload.wikimedia.org/wikipedia/fr/4/48/76ers_2016.png,12482,3,G,14,1,4,25,1,2,50,0,0,0,2,1,3,0,1,1,0,0,-5,
,,,,520,P.J.,Tucker,27,Philadelphia 76ers,76ers,PHI,https://upload.wikimedia.org/wikipedia/fr/4/48/76ers_2016.png,12498,0,PF,18,0,3,0,0,0,0,0,3,0,2,1,3,1,1,2,0,0,-9,
,,,,222,Tobias,Harris,27,Philadelphia 76ers,76ers,PHI,https://upload.wikimedia.org/wikipedia/fr/4/48/76ers_2016.png,12498,9,PF,28,2,9,22.2,5,5,100,0,4,0,2,4,6,2,0,1,3,0,-8,
,,,,2638,Paul,Reed,27,Philadelphia 76ers,76ers,PHI,https://upload.wikimedia.org/wikipedia/fr/4/48/76ers_2016.png,12498,10,SF,22,5,9,55.6,0,0,0,0,2,0,2,5,7,5,1,2,2,0,-8,
,,,,53,Patrick,Beverley,27,Philadelphia 76ers,76ers,PHI,https://upload.wikimedia.org/wikipedia/fr/4/48/76ers_2016.png,12498,4,PG,20,1,4,25,1,1,100,1,3,33.3,0,2,2,2,1,0,1,0,-12,
,,,,2619,Tyrese,Maxey,27,Philadelphia 76ers,76ers,PHI,https://upload.wikimedia.org/wikipedia/fr/4/48/76ers_2016.png,12498,17,PG,28,7,17,41.2,1,2,50,2,6,33.3,0,3,3,3,4,2,2,0,-9,
,,,,2839,Filip,Petrusev,27,Philadelphia 76ers,76ers,PHI,https://upload.wikimedia.org/wikipedia/fr/4/48/76ers_2016.png,12498,2,PF,6,1,1,100,0,0,0,0,0,0,0,2,2,0,0,0,1,0,+4,
,,,,203,Danny,Green,27,Philadelphia 76ers,76ers,PHI,https://upload.wikimedia.org/wikipedia/fr/4/48/76ers_2016.png,12498,8,F,12,3,6,50,0,0,0,2,3,66.7,1,1,2,3,1,3,0,0,+6,
,,,,932,Mo,Bamba,27,Philadelphia 76ers,76ers,PHI,https://upload.wikimedia.org/wikipedia/fr/4/48/76ers_2016.png,12498,0,C,15,0,4,0,0,2,0,0,2,0,1,2,3,0,3,0,1,0,-11,
,,,,407,Kelly,Oubre Jr.,27,Philadelphia 76ers,76ers,PHI,https://upload.wikimedia.org/wikipedia/fr/4/48/76ers_2016.png,12498,18,SG,22,6,8,75,2,3,66.7,4,6,66.7,1,2,3,1,1,0,3,2,-14,
