get,parameters.team,parameters.season,results,response.player.id,response.player.firstname,response.player.lastname,response.team.id,response.team.name,response.team.nickname,response.team.code,response.team.logo,response.game.id,response.points,response.pos,response.min,response.fgm,response.fga,response.fgp,response.ftm,response.fta,response.ftp,response.tpm,response.tpa,response.tpp,response.offReb,response.defReb,response.totReb,response.assists,response.pFouls,response.steals,response.turnovers,response.blocks,response.plusMinus,response.comment
players/statistics,28,2023,1009,153,Kevin,Durant,28,Phoenix Suns,Suns,PHX,https://upload.wikimedia.org/wikipedia/fr/5/56/Phoenix_Suns_2013.png,12481,12,PF,13,4,7,57.1,3,3,100,1,2,50,0,3,3,1,2,0,2,0,+14,
,,,,1010,Josh,Okogie,28,Phoenix Suns,Suns,PHX,https://upload.wikimedia.org/wikipedia/fr/5/56/Phoenix_Suns_2013.png,12481,4,SF,12,2,3,66.7,0,0,0,0,1,0,0,2,2,2,2,1,0,0,+2,
,,,,398,Jusuf,Nurkic,28,Phoenix Suns,Suns,PHX,https://upload.wikimedia.org/wikipedia/fr/5/56/Phoenix_Suns_2013.png,12481,5,C,15,2,4,50,1,3,33.3,0,0,0,1,4,5,3,4,0,3,0,+6,
,,,,45,Bradley,Beal,28,Phoenix Suns,Suns,PHX,https://upload.wikimedia.org/wikipedia/fr/5/56/Phoenix_Suns_2013.png,12481,11,SG,14,3,5,60,4,4,100,1,1,100,0,4,4,3,0,0,1,0,+15,
,,,,64,Devin,Booker,28,Phoenix Suns,Suns,PHX,https://upload.wikimedia.org/wikipedia/fr/5/56/Phoenix_Suns_2013.png,12481,12,SG,15,5,9,55.6,0,0,0,2,4,50,0,0,0,2,2,0,1,0,+16,
,,,,999,Chimezie,Metu,28,Phoenix Suns,Suns,PHX,https://upload.wikimedia.org/wikipedia/fr/5/56/Phoenix_Suns_2013.png,12481,14,PF,19,3,7,42.9,6,6,100,2,3,66.7,1,2,3,0,1,0,1,1,-16,
,,,,966,Drew,Eubanks,28,Phoenix Suns,Suns,PHX,https://upload.wikimedia.org/wikipedia/fr/5/56/Phoenix_Suns_2013.png,12481,7,PF,17,1,1,100,5,9,55.6,0,0,0,1,7,8,2,2,0,1,1,+18,
,,,,1040,Yuta,Watanabe,28,Phoenix Suns,Suns,PHX,https://upload.wikimedia.org/wikipedia/fr/5/56/Phoenix_Suns_2013.png,12481,10,SF,30,4,9,44.4,0,0,0,2,6,33.3,1,4,5,1,4,2,2,0,0,
,,,,934,Keita,Bates-Diop,28,Phoenix Suns,Suns,PHX,https://upload.wikimedia.org/wikipedia/fr/5/56/Phoenix_Suns_2013.png,12481,3,SF,18,1,5,20,0,0,0,1,3,33.3,2,3,5,0,2,0,0,0,-4,
,,,,1875,Nassir,Little,28,Phoenix Suns,Suns,PHX,https://upload.wikimedia.org/wikipedia/fr/5/56/Phoenix_Suns_2013.png,12481,3,SF,20,1,4,25,0,0,0,1,2,50,0,3,3,1,2,1,0,0,-12,
,,,,2565,Udoka,Azubuike,28,Phoenix Suns,Suns,PHX,https://upload.wikimedia.org/wikipedia/fr/5/56/Phoenix_Suns_2013.png,12481,2,C,7,0,0,0,2,2,100,0,0,0,0,0,0,0,0,0,0,0,-9,
,,,,1849,Bol,Bol,28,Phoenix Suns,Suns,PHX,https://upload.wikimedia.org/wikipedia/fr/5/56/Phoenix_Suns_2013.png,12481,4,C,9,2,5,40,0,0,0,0,0,0,3,1,4,1,1,0,3,0,-15,
,,,,196,Eric,Gordon,28,Phoenix Suns,Suns,PHX,https://upload.wikimedia.org/wikipedia/fr/5/56/Phoenix_Suns_2013.png,12481,8,SG,13,2,6,33.3,4,4,100,0,4,0,0,1,1,3,1,0,2,0,-1,
,,,,926,Grayson,Allen,28,Phoenix Suns,Suns,PHX,https://upload.wikimedia.org/wikipedia/fr/5/56/Phoenix_Suns_2013.png,12481,18,SG,20,7,11,63.6,1,1,100,3,6,50,1,2,3,3,0,2,0,1,+22,
,,,,2820,Keon,Johnson,28,Phoenix Suns,Suns,PHX,https://upload.wikimedia.org/wikipedia/fr/5/56/Phoenix_Suns_2013.png,12481,6,SG,17,3,7,42.9,0,0,0,0,2,0,0,0,0,1,1,0,2,0,-18,
,,,,2610,Saben,Lee,28,Phoenix Suns,Suns,PHX,https://upload.wikimedia.org/wikipedia/fr/5/56/Phoenix_Suns_2013.png,12481,11,G,25,2,12,16.7,6,6,100,1,3,33.3,1,3,4,4,2,2,1,1,+2,
,,,,999,Chimezie,Metu,28,Phoenix Suns,Suns,PHX,https://upload.wikimedia.org/wikipedia/fr/5/56/Phoenix_Suns_2013.png,12496,8,PF,22,3,7,42.9,0,0,0,2,4,50,2,3,5,0,0,0,0,1,-2,
,,,,1010,Josh,Okogie,28,Phoenix Suns,Suns,PHX,https://upload.wikimedia.org/wikipedia/fr/5/56/Phoenix_Suns_2013.png,12496,17,SF,24,7,13,53.8,0,1,0,3,6,50,1,5,6,3,4,2,1,2,0,
,,,,398,Jusuf,Nurkic,28,Phoenix Suns,Suns,PHX,https://upload.wikimedia.org/wikipedia/fr/5/56/Phoenix_Suns_2013.png,12496,10,C,16,1,4,25,8,8,100,0,3,0,0,4,4,2,1,1,2,0,-3,
,,,,926,Grayson,Allen,28,Phoenix Suns,Suns,PHX,https://upload.wikimedia.org/wikipedia/fr/5/56/Phoenix_Suns_2013.png,12496,10,SG,26,4,7,57.1,1,1,100,1,2,50,0,3,3,7,1,2,5,1,+5,
,,,,2610,Saben,Lee,28,Phoenix Suns,Suns,PHX,https://upload.wikimedia.org/wikipedia/fr/5/56/Phoenix_Suns_2013.png,12496,11,G,32,3,7,42.9,4,6,66.7,1,2,50,1,1,2,9,2,0,3,0,-23,
,,,,966,Drew,Eubanks,28,Phoenix Suns,Suns,PHX,https://upload.wikimedia.org/wikipedia/fr/5/56/Phoenix_Suns_2013.png,12496,6,PF,16,1,3,33.3,4,6,66.7,0,0,0,1,1,2,1,0,1,0,1,+2,
,,,,1040,Yuta,Watanabe,28,Phoenix Suns,Suns,PHX,https://upload.wikimedia.org/wikipedia/fr/5/56/Phoenix_Suns_2013.png,12496,9,SF,23,3,7,42.9,1,2,50,2,5,40,0,2,2,1,2,0,0,0,-1,
,,,,934,Keita,Bates-Diop,28,Phoenix Suns,Suns,PHX,https://upload.wikimedia.org/wikipedia/fr/5/56/Phoenix_Suns_2013.png,12496,9,SF,23,4,10,40,0,0,0,1,4,25,1,4,5,2,0,0,0,1,-9,
,,,,1875,Nassir,Little,28,Phoenix Suns,Suns,PHX,https://upload.wikimedia.org/wikipedia/fr/5/56/Phoenix_Suns_2013.png,12496,6,SF,19,2,6,33.3,1,2,50,1,3,33.3,0,2,2,2,1,0,0,0,-2,
,,,,1849,Bol,Bol,28,Phoenix Suns,Suns,PHX,https://upload.wikimedia.org/wikipedia/fr/5/56/Phoenix_Suns_2013.png,12496,7,C,15,3,4,75,0,0,0,1,1,100,1,3,4,0,3,0,2,1,-7,
,,,,196,Eric,Gordon,28,Phoenix Suns,Suns,PHX,https://upload.wikimedia.org/wikipedia/fr/5/56/Phoenix_Suns_2013.png,12496,9,SG,14,3,6,50,2,2,100,1,3,33.3,0,1,1,1,0,0,1,0,+1,
,,,,2820,Keon,Johnson,28,Phoenix Suns,Suns,PHX,https://upload.wikimedia.org/wikipedia/fr/5/56/Phoenix_Suns_2013.png,12496,5,SG,9,2,3,66.7,0,0,0,1,2,50,0,2,2,1,2,0,1,0,-1,
,,,,153,Kevin,Durant,28,Phoenix Suns,Suns,PHX,https://upload.wikimedia.org/wikipedia/fr/5/56/Phoenix_Suns_2013.png,12507,16,PF,21,6,15,40,2,2,100,2,4,50,0,4,4,6,0,0,0,0,+25,
,,,,1875,Nassir,Little,28,Phoenix Suns,Suns,PHX,https://upload.wikimedia.org/wikipedia/fr/5/56/Phoenix_Suns_2013.png,12507,5,SF,30,2,5,40,0,0,0,1,4,25,0,4,4,2,2,2,0,0,+25,
,,,,398,Jusuf,Nurkic,28,Phoenix Suns,Suns,PHX,https://upload.wikimedia.org/wikipedia/fr/5/56/Phoenix_Suns_2013.png,12507,17,C,21,6,8,75,4,5,80,1,1,100,3,5,8,5,2,2,1,1,+27,
,,,,196,Eric,Gordon,28,Phoenix Suns,Suns,PHX,https://upload.wikimedia.org/wikipedia/fr/5/56/Phoenix_Suns_2013.png,12507,20,SG,18,8,10,80,1,1,100,3,5,60,1,2,3,2,1,1,0,1,+22,
,,,,64,Devin,Booker,28,Phoenix Suns,Suns,PHX,https://upload.wikimedia.org/wikipedia/fr/5/56/Phoenix_Suns_2013.png,12507,18,SG,21,7,15,46.7,1,1,100,3,6,50,1,0,1,5,2,1,0,0,+18,
,,,,999,Chimezie,Metu,28,Phoenix Suns,Suns,PHX,https://upload.wikimedia.org/wikipedia/fr/5/56/Phoenix_Suns_2013.png,12507,3,PF,19,1,3,33.3,1,2,50,0,2,0,1,4,5,3,1,1,3,0,-18,
