get,parameters.team,parameters.season,results,response.player.id,response.player.firstname,response.player.lastname,response.team.id,response.team.name,response.team.nickname,response.team.code,response.team.logo,response.game.id,response.points,response.pos,response.min,response.fgm,response.fga,response.fgp,response.ftm,response.fta,response.ftp,response.tpm,response.tpa,response.tpp,response.offReb,response.defReb,response.totReb,response.assists,response.pFouls,response.steals,response.turnovers,response.blocks,response.plusMinus,response.comment
players/statistics,31,2023,977,762,Zach,Collins,31,San Antonio Spurs,Spurs,SAS,https://upload.wikimedia.org/wikipedia/fr/0/0e/San_Antonio_Spurs_2018.png,12487,15,PF,23,5,11,45.5,4,4,100,1,4,25,2,3,5,5,3,1,1,1,-15,
,,,,3425,Julian,Champagnie,31,San Antonio Spurs,Spurs,SAS,https://upload.wikimedia.org/wikipedia/fr/0/0e/San_Antonio_Spurs_2018.png,12487,3,F,23,1,5,20,0,0,0,1,4,25,0,4,4,0,2,0,0,2,-15,
,,,,4026,Victor,Wembanyama,31,San Antonio Spurs,Spurs,SAS,https://upload.wikimedia.org/wikipedia/fr/0/0e/San_Antonio_Spurs_2018.png,12487,20,C,19,8,13,61.5,2,3,66.7,2,5,40,2,3,5,0,2,2,4,1,0,
,,,,2606,Tre,Jones,31,San Antonio Spurs,Spurs,SAS,https://upload.wikimedia.org/wikipedia/fr/0/0e/San_Antonio_Spurs_2018.png,12487,12,PG,21,3,9,33.3,5,7,71.4,1,3,33.3,1,3,4,6,2,1,3,0,-15,
,,,,2661,Devin,Vassell,31,San Antonio Spurs,Spurs,SAS,https://upload.wikimedia.org/wikipedia/fr/0/0e/San_Antonio_Spurs_2018.png,12487,6,SG,21,2,7,28.6,1,4,25,1,3,33.3,1,1,2,1,1,3,0,0,-3,
,,,,2830,Sandro,Mamukelashvili,31,San Antonio Spurs,Spurs,SAS,https://upload.wikimedia.org/wikipedia/fr/0/0e/San_Antonio_Spurs_2018.png,12487,2,PF,8,1,2,50,0,0,0,0,1,0,1,0,1,1,0,0,1,0,-1,
,,,,3415,Dominick,Barlow,31,San Antonio Spurs,Spurs,SAS,https://upload.wikimedia.org/wikipedia/fr/0/0e/San_Antonio_Spurs_2018.png,12487,0,F,7,0,3,0,0,0,0,0,0,0,2,0,2,2,0,0,0,0,+9,
,,,,351,Doug,McDermott,31,San Antonio Spurs,Spurs,SAS,https://upload.wikimedia.org/wikipedia/fr/0/0e/San_Antonio_Spurs_2018.png,12487,12,SF,14,5,7,71.4,0,0,0,2,4,50,0,0,0,0,2,0,1,0,+4,
,,,,854,Cedi,Osman,31,San Antonio Spurs,Spurs,SAS,https://upload.wikimedia.org/wikipedia/fr/0/0e/San_Antonio_Spurs_2018.png,12487,7,SF,18,2,6,33.3,3,3,100,0,2,0,0,4,4,2,2,0,1,0,-7,
,,,,2790,Charles,Bassey,31,San Antonio Spurs,Spurs,SAS,https://upload.wikimedia.org/wikipedia/fr/0/0e/San_Antonio_Spurs_2018.png,12487,6,C,16,3,5,60,0,0,0,0,0,0,3,9,12,4,1,0,1,2,+9,
