get,parameters.team,parameters.season,results,response.player.id,response.player.firstname,response.player.lastname,response.team.id,response.team.name,response.team.nickname,response.team.code,response.team.logo,response.game.id,response.points,response.pos,response.min,response.fgm,response.fga,response.fgp,response.ftm,response.fta,response.ftp,response.tpm,response.tpa,response.tpp,response.offReb,response.defReb,response.totReb,response.assists,response.pFouls,response.steals,response.turnovers,response.blocks,response.plusMinus,response.comment
players/statistics,38,2023,903,479,Pascal,Siakam,38,Toronto Raptors,Raptors,TOR,https://upload.wikimedia.org/wikipedia/fr/8/89/Raptors2015.png,12484,8,PF,20,3,6,50,2,3,66.7,0,2,0,0,3,3,4,3,2,2,1,+8,
,,,,732,O.G.,Anunoby,38,Toronto Raptors,Raptors,TOR,https://upload.wikimedia.org/wikipedia/fr/8/89/Raptors2015.png,12484,14,SF,20,6,7,85.7,0,0,0,2,2,100,0,0,0,3,0,2,0,0,+14,
,,,,2789,Scottie,Barnes,38,Toronto Raptors,Raptors,TOR,https://upload.wikimedia.org/wikipedia/fr/8/89/Raptors2015.png,12484,15,SF,18,5,9,55.6,5,7,71.4,0,2,0,0,7,7,4,0,0,3,0,+20,
,,,,428,Jakob,Poeltl,38,Toronto Raptors,Raptors,TOR,https://upload.wikimedia.org/wikipedia/fr/8/89/Raptors2015.png,12484,4,C,19,2,4,50,0,0,0,0,0,0,1,4,5,2,4,1,4,0,+9,
,,,,472,Dennis,Schroder,38,Toronto Raptors,Raptors,TOR,https://upload.wikimedia.org/wikipedia/fr/8/89/Raptors2015.png,12484,6,PG,17,1,3,33.3,3,4,75,1,3,33.3,0,5,5,5,5,1,2,0,+12,
,,,,570,Thaddeus,Young,38,Toronto Raptors,Raptors,TOR,https://upload.wikimedia.org/wikipedia/fr/8/89/Raptors2015.png,12484,2,PF,15,1,2,50,0,0,0,0,0,0,0,3,3,2,2,1,0,0,+9,
,,,,745,Chris,Boucher,38,Toronto Raptors,Raptors,TOR,https://upload.wikimedia.org/wikipedia/fr/8/89/Raptors2015.png,12484,11,PF,21,5,7,71.4,0,2,0,1,2,50,1,5,6,0,2,0,1,1,+16,
,,,,1880,Jalen,McDaniels,38,Toronto Raptors,Raptors,TOR,https://upload.wikimedia.org/wikipedia/fr/8/89/Raptors2015.png,12484,11,PF,16,4,5,80,2,2,100,1,2,50,3,1,4,1,1,0,0,0,+7,
,,,,3445,Mouhamadou,Gueye,38,Toronto Raptors,Raptors,TOR,https://upload.wikimedia.org/wikipedia/fr/8/89/Raptors2015.png,12484,7,F,12,2,2,100,3,5,60,0,0,0,0,3,3,0,2,1,1,0,-8,
,,,,507,Garrett,Temple,38,Toronto Raptors,Raptors,TOR,https://upload.wikimedia.org/wikipedia/fr/8/89/Raptors2015.png,12484,2,SF,12,0,1,0,2,2,100,0,1,0,1,0,1,1,2,0,2,0,-8,
,,,,2587,Malachi,Flynn,38,Toronto Raptors,Raptors,TOR,https://upload.wikimedia.org/wikipedia/fr/8/89/Raptors2015.png,12484,5,PG,20,1,6,16.7,2,2,100,1,4,25,0,5,5,5,0,0,3,0,+11,
,,,,1058,Gary,Trent Jr.,38,Toronto Raptors,Raptors,TOR,https://upload.wikimedia.org/wikipedia/fr/8/89/Raptors2015.png,12484,22,SG,21,7,12,58.3,5,5,100,3,6,50,1,0,1,0,4,3,5,0,+9,
,,,,3440,Javon,Freeman-Liberty,38,Toronto Raptors,Raptors,TOR,https://upload.wikimedia.org/wikipedia/fr/8/89/Raptors2015.png,12484,0,G,8,0,3,0,0,0,0,0,1,0,1,1,2,1,1,0,2,0,-12,
,,,,4028,Markquis,Nowell,38,Toronto Raptors,Raptors,TOR,https://upload.wikimedia.org/wikipedia/fr/8/89/Raptors2015.png,12484,0,G,8,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,-12,
,,,,4027,Gradey,Dick,38,Toronto Raptors,Raptors,TOR,https://upload.wikimedia.org/wikipedia/fr/8/89/Raptors2015.png,12484,5,G,14,2,6,33.3,0,0,0,1,4,25,0,3,3,1,2,2,2,0,-10,
,,,,479,Pascal,Siakam,38,Toronto Raptors,Raptors,TOR,https://upload.wikimedia.org/wikipedia/fr/8/89/Raptors2015.png,12527,22,PF,31,8,11,72.7,4,6,66.7,2,5,40,0,5,5,0,1,3,4,0,+3,
,,,,745,Chris,Boucher,38,Toronto Raptors,Raptors,TOR,https://upload.wikimedia.org/wikipedia/fr/8/89/Raptors2015.png,12527,3,PF,13,1,5,20,1,2,50,0,2,0,1,2,3,0,6,1,3,2,-2,
,,,,732,O.G.,Anunoby,38,Toronto Raptors,Raptors,TOR,https://upload.wikimedia.org/wikipedia/fr/8/89/Raptors2015.png,12527,7,SF,29,2,5,40,3,5,60,0,2,0,2,0,2,3,3,1,0,0,+9,
,,,,2789,Scottie,Barnes,38,Toronto Raptors,Raptors,TOR,https://upload.wikimedia.org/wikipedia/fr/8/89/Raptors2015.png,12527,22,SF,28,8,14,57.1,4,4,100,2,3,66.7,2,4,6,3,1,2,2,4,+11,
,,,,472,Dennis,Schroder,38,Toronto Raptors,Raptors,TOR,https://upload.wikimedia.org/wikipedia/fr/8/89/Raptors2015.png,12527,12,PG,28,4,10,40,3,4,75,1,4,25,1,3,4,4,2,0,1,0,+7,
