get,parameters.team,parameters.season,results,response.player.id,response.player.firstname,response.player.lastname,response.team.id,response.team.name,response.team.nickname,response.team.code,response.team.logo,response.game.id,response.points,response.pos,response.min,response.fgm,response.fga,response.fgp,response.ftm,response.fta,response.ftp,response.tpm,response.tpa,response.tpp,response.offReb,response.defReb,response.totReb,response.assists,response.pFouls,response.steals,response.turnovers,response.blocks,response.plusMinus,response.comment
players/statistics,40,2023,947,761,John,Collins,40,Utah Jazz,Jazz,UTA,https://upload.wikimedia.org/wikipedia/fr/3/3b/Jazz_de_l%27Utah_logo.png,12485,5,PF,18,2,3,66.7,0,0,0,1,1,100,1,3,4,0,0,0,2,0,-2,
,,,,830,Lauri,Markkanen,40,Utah Jazz,Jazz,UTA,https://upload.wikimedia.org/wikipedia/fr/3/3b/Jazz_de_l%27Utah_logo.png,12485,10,PF,18,4,10,40,2,2,100,0,3,0,4,4,8,2,0,0,3,0,-4,
,,,,3457,Walker,Kessler,40,Utah Jazz,Jazz,UTA,https://upload.wikimedia.org/wikipedia/fr/3/3b/Jazz_de_l%27Utah_logo.png,12485,7,C,24,3,5,60,1,3,33.3,0,0,0,3,4,7,1,0,0,2,5,-5,
,,,,1021,Collin,Sexton,40,Utah Jazz,Jazz,UTA,https://upload.wikimedia.org/wikipedia/fr/3/3b/Jazz_de_l%27Utah_logo.png,12485,3,PG,18,1,6,16.7,1,2,50,0,2,0,1,0,1,5,1,0,4,0,-4,
,,,,1867,Talen,Horton-Tucker,40,Utah Jazz,Jazz,UTA,https://upload.wikimedia.org/wikipedia/fr/3/3b/Jazz_de_l%27Utah_logo.png,12485,13,SG,21,5,13,38.5,0,0,0,3,7,42.9,1,5,6,1,4,0,1,0,-7,
,,,,404,Kelly,Olynyk,40,Utah Jazz,Jazz,UTA,https://upload.wikimedia.org/wikipedia/fr/3/3b/Jazz_de_l%27Utah_logo.png,12485,1,PF,21,0,0,0,1,2,50,0,0,0,1,6,7,2,4,0,2,1,+2,
,,,,3438,Simone,Fontecchio,40,Utah Jazz,Jazz,UTA,https://upload.wikimedia.org/wikipedia/fr/3/3b/Jazz_de_l%27Utah_logo.png,12485,6,F,12,2,7,28.6,0,0,0,2,5,40,1,0,1,1,1,0,0,0,+5,
,,,,1891,Luka,Samanic,40,Utah Jazz,Jazz,UTA,https://upload.wikimedia.org/wikipedia/fr/3/3b/Jazz_de_l%27Utah_logo.png,12485,9,F,5,3,4,75,1,2,50,2,2,100,0,0,0,0,1,0,0,0,-3,
,,,,4031,Taylor,Hendricks,40,Utah Jazz,Jazz,UTA,https://upload.wikimedia.org/wikipedia/fr/3/3b/Jazz_de_l%27Utah_logo.png,12485,3,F,12,1,3,33.3,0,0,0,1,3,33.3,1,3,4,0,1,0,1,0,+2,
,,,,2785,Omer,Yurtseven,40,Utah Jazz,Jazz,UTA,https://upload.wikimedia.org/wikipedia/fr/3/3b/Jazz_de_l%27Utah_logo.png,12485,4,C,16,2,4,50,0,1,0,0,1,0,3,3,6,0,0,0,0,0,+10,
,,,,109,Jordan,Clarkson,40,Utah Jazz,Jazz,UTA,https://upload.wikimedia.org/wikipedia/fr/3/3b/Jazz_de_l%27Utah_logo.png,12485,6,PG,14,2,4,50,2,2,100,0,2,0,0,0,0,0,0,0,1,0,-2,
,,,,152,Kris,Dunn,40,Utah Jazz,Jazz,UTA,https://upload.wikimedia.org/wikipedia/fr/3/3b/Jazz_de_l%27Utah_logo.png,12485,15,G,16,7,7,100,0,0,0,1,1,100,0,2,2,5,0,2,1,1,+10,
,,,,3411,Ochai,Agbaji,40,Utah Jazz,Jazz,UTA,https://upload.wikimedia.org/wikipedia/fr/3/3b/Jazz_de_l%27Utah_logo.png,12485,9,G,19,4,10,40,1,1,100,0,4,0,0,3,3,0,3,1,0,1,+8,
,,,,4029,Keyonte,George,40,Utah Jazz,Jazz,UTA,https://upload.wikimedia.org/wikipedia/fr/3/3b/Jazz_de_l%27Utah_logo.png,12485,10,G,25,2,9,22.2,5,6,83.3,1,6,16.7,0,2,2,5,0,0,3,1,+15,
,,,,761,John,Collins,40,Utah Jazz,Jazz,UTA,https://upload.wikimedia.org/wikipedia/fr/3/3b/Jazz_de_l%27Utah_logo.png,12495,3,PF,19,1,6,16.7,0,0,0,1,3,33.3,1,4,5,0,3,0,2,1,-13,
,,,,830,Lauri,Markkanen,40,Utah Jazz,Jazz,UTA,https://upload.wikimedia.org/wikipedia/fr/3/3b/Jazz_de_l%27Utah_logo.png,12495,16,PF,23,6,12,50,3,3,100,1,5,20,1,7,8,0,2,1,1,1,-16,
