get,parameters.team,parameters.season,results,response.player.id,response.player.firstname,response.player.lastname,response.team.id,response.team.name,response.team.nickname,response.team.code,response.team.logo,response.game.id,response.points,response.pos,response.min,response.fgm,response.fga,response.fgp,response.ftm,response.fta,response.ftp,response.tpm,response.tpa,response.tpp,response.offReb,response.defReb,response.totReb,response.assists,response.pFouls,response.steals,response.turnovers,response.blocks,response.plusMinus,response.comment
players/statistics,41,2023,978,820,Kyle,Kuzma,41,Washington Wizards,Wizards,WAS,https://upload.wikimedia.org/wikipedia/fr/archive/d/d6/20161212034849%21Wizards2015.png,12502,19,SF,24,8,16,50,2,3,66.7,1,6,16.7,0,4,4,3,2,0,6,0,-2,
,,,,1859,Daniel,Gafford,41,Washington Wizards,Wizards,WAS,https://upload.wikimedia.org/wikipedia/fr/archive/d/d6/20161212034849%21Wizards2015.png,12502,6,C,24,3,7,42.9,0,0,0,0,0,0,2,3,5,0,4,0,1,3,-6,
,,,,285,Tyus,Jones,41,Washington Wizards,Wizards,WAS,https://upload.wikimedia.org/wikipedia/fr/archive/d/d6/20161212034849%21Wizards2015.png,12502,1,PG,23,0,5,0,1,2,50,0,2,0,1,6,7,2,1,1,1,2,-9,
,,,,1887,Jordan,Poole,41,Washington Wizards,Wizards,WAS,https://upload.wikimedia.org/wikipedia/fr/archive/d/d6/20161212034849%21Wizards2015.png,12502,11,SG,22,2,13,15.4,5,6,83.3,2,8,25,0,4,4,3,0,1,2,0,-7,
,,,,4036,Bilal,Coulibaly,41,Washington Wizards,Wizards,WAS,https://upload.wikimedia.org/wikipedia/fr/archive/d/d6/20161212034849%21Wizards2015.png,12502,12,SG,28,5,8,62.5,0,0,0,2,3,66.7,1,4,5,1,3,4,1,1,-11,
,,,,181,Danilo,Gallinari,41,Washington Wizards,Wizards,WAS,https://upload.wikimedia.org/wikipedia/fr/archive/d/d6/20161212034849%21Wizards2015.png,12502,4,PF,12,0,2,0,4,5,80,0,2,0,0,3,3,0,3,0,0,1,-6,
,,,,2838,Eugene,Omoruyi,41,Washington Wizards,Wizards,WAS,https://upload.wikimedia.org/wikipedia/fr/archive/d/d6/20161212034849%21Wizards2015.png,12502,6,F,12,2,5,40,2,2,100,0,3,0,1,3,4,0,1,2,1,0,+18,
,,,,2825,Corey,Kispert,41,Washington Wizards,Wizards,WAS,https://upload.wikimedia.org/wikipedia/fr/archive/d/d6/20161212034849%21Wizards2015.png,12502,9,SF,19,3,14,21.4,1,1,100,2,10,20,0,2,2,3,3,1,0,0,-5,
,,,,384,Mike,Muscala,41,Washington Wizards,Wizards,WAS,https://upload.wikimedia.org/wikipedia/fr/archive/d/d6/20161212034849%21Wizards2015.png,12502,6,C,18,2,7,28.6,2,2,100,0,4,0,3,0,3,3,2,2,0,2,+14,
,,,,564,Delon,Wright,41,Washington Wizards,Wizards,WAS,https://upload.wikimedia.org/wikipedia/fr/archive/d/d6/20161212034849%21Wizards2015.png,12502,2,SG,18,1,4,25,0,0,0,0,0,0,0,1,1,3,1,0,3,1,-1,
,,,,2796,Jared,Butler,41,Washington Wizards,Wizards,WAS,https://upload.wikimedia.org/wikipedia/fr/archive/d/d6/20161212034849%21Wizards2015.png,12502,7,SG,8,2,2,100,2,2,100,1,1,100,0,2,2,2,1,0,0,0,+16,
,,,,3428,Johnny,Davis,41,Washington Wizards,Wizards,WAS,https://upload.wikimedia.org/wikipedia/fr/archive/d/d6/20161212034849%21Wizards2015.png,12502,9,G,26,3,8,37.5,2,2,100,1,2,50,2,4,6,3,0,0,0,1,+13,
,,,,3484,Ryan,Rollins,41,Washington Wizards,Wizards,WAS,https://upload.wikimedia.org/wikipedia/fr/archive/d/d6/20161212034849%21Wizards2015.png,12502,6,G,8,2,4,50,2,2,100,0,0,0,0,2,2,0,2,0,0,1,+16,
,,,,2564,Deni,Avdija,41,Washington Wizards,Wizards,WAS,https://upload.wikimedia.org/wikipedia/fr/archive/d/d6/20161212034849%21Wizards2015.png,12532,2,SF,15,1,4,25,0,0,0,0,2,0,1,4,5,3,2,0,1,1,0,
,,,,1859,Daniel,Gafford,41,Washington Wizards,Wizards,WAS,https://upload.wikimedia.org/wikipedia/fr/archive/d/d6/20161212034849%21Wizards2015.png,12532,5,C,18,2,5,40,1,2,50,0,0,0,1,2,3,1,2,1,0,1,+4,
,,,,285,Tyus,Jones,41,Washington Wizards,Wizards,WAS,https://upload.wikimedia.org/wikipedia/fr/archive/d/d6/20161212034849%21Wizards2015.png,12532,13,PG,26,6,12,50,0,0,0,1,2,50,1,3,4,7,0,2,1,0,+6,
,,,,1887,Jordan,Poole,41,Washington Wizards,Wizards,WAS,https://upload.wikimedia.org/wikipedia/fr/archive/d/d6/20161212034849%21Wizards2015.png,12532,41,SG,27,10,19,52.6,15,16,93.8,6,12,50,1,4,5,2,1,2,4,0,+2,
,,,,4036,Bilal,Coulibaly,41,Washington Wizards,Wizards,WAS,https://upload.wikimedia.org/wikipedia/fr/archive/d/d6/20161212034849%21Wizards2015.png,12532,7,SG,21,1,5,20,4,4,100,1,3,33.3,0,3,3,0,0,3,0,0,-4,
,,,,181,Danilo,Gallinari,41,Washington Wizards,Wizards,WAS,https://upload.wikimedia.org/wikipedia/fr/archive/d/d6/20161212034849%21Wizards2015.png,12532,7,PF,18,3,6,50,0,0,0,1,3,33.3,0,2,2,2,2,0,2,1,+10,
,,,,190,Taj,Gibson,41,Washington Wizards,Wizards,WAS,https://upload.wikimedia.org/wikipedia/fr/archive/d/d6/20161212034849%21Wizards2015.png,12532,5,F,7,2,2,100,0,0,0,1,1,100,0,0,0,1,0,0,0,0,+9,
,,,,3413,Patrick,Baldwin Jr.,41,Washington Wizards,Wizards,WAS,https://upload.wikimedia.org/wikipedia/fr/archive/d/d6/20161212034849%21Wizards2015.png,12532,2,F,12,1,5,20,0,0,0,0,3,0,0,1,1,0,2,0,1,1,+13,
,,,,2825,Corey,Kispert,41,Washington Wizards,Wizards,WAS,https://upload.wikimedia.org/wikipedia/fr/archive/d/d6/20161212034849%21Wizards2015.png,12532,8,SF,21,3,6,50,0,0,0,2,5,40,0,1,1,2,0,2,0,0,+24,
,,,,384,Mike,Muscala,41,Washington Wizards,Wizards,WAS,https://upload.wikimedia.org/wikipedia/fr/archive/d/d6/20161212034849%21Wizards2015.png,12532,20,C,25,7,10,70,1,1,100,5,7,71.4,1,7,8,0,1,0,1,0,+12,
,,,,564,Delon,Wright,41,Washington Wizards,Wizards,WAS,https://upload.wikimedia.org/wikipedia/fr/archive/d/d6/20161212034849%21Wizards2015.png,12532,5,SG,21,2,4,50,0,0,0,1,2,50,1,4,5,2,1,1,1,0,+10,
,,,,2796,Jared,Butler,41,Washington Wizards,Wizards,WAS,https://upload.wikimedia.org/wikipedia/fr/archive/d/d6/20161212034849%21Wizards2015.png,12532,0,SG,7,0,2,0,0,0,0,0,1,0,0,3,3,4,2,1,1,0,+9,
,,,,1191,Xavier,Cooks,41,Washington Wizards,Wizards,WAS,https://upload.wikimedia.org/wikipedia/fr/archive/d/d6/20161212034849%21Wizards2015.png,12532,0,G,3,0,0,0,0,0,0,0,0,0,0,2,2,1,1,0,1,0,+2,
,,,,3576,Jules,Bernard,41,Washington Wizards,Wizards,WAS,https://upload.wikimedia.org/wikipedia/fr/archive/d/d6/20161212034849%21Wizards2015.png,12532,3,G,4,1,1,100,0,0,0,1,1,100,0,1,1,0,0,0,0,0,+5,
,,,,3484,Ryan,Rollins,41,Washington Wizards,Wizards,WAS,https://upload.wikimedia.org/wikipedia/fr/archive/d/d6/20161212034849%21Wizards2015.png,12532,13,G,16,6,8,75,0,0,0,1,3,33.3,1,3,4,1,4,0,0,0,+23,
,,,,2564,Deni,Avdija,41,Washington Wizards,Wizards,WAS,https://upload.wikimedia.org/wikipedia/fr/archive/d/d6/20161212034849%21Wizards2015.png,12544,18,SF,20,7,14,50,0,0,0,4,7,57.1,2,5,7,0,2,0,3,0,-6,
,,,,1859,Daniel,Gafford,41,Washington Wizards,Wizards,WAS,https://upload.wikimedia.org/wikipedia/fr/archive/d/d6/20161212034849%21Wizards2015.png,12544,6,C,18,2,2,100,2,2,100,0,0,0,1,3,4,1,2,0,0,1,-9,
,,,,285,Tyus,Jones,41,Washington Wizards,Wizards,WAS,https://upload.wikimedia.org/wikipedia/fr/archive/d/d6/20161212034849%21Wizards2015.png,12544,11,PG,24,5,11,45.5,0,0,0,1,4,25,0,3,3,3,1,2,3,0,-12,
,,,,1887,Jordan,Poole,41,Washington Wizards,Wizards,WAS,https://upload.wikimedia.org/wikipedia/fr/archive/d/d6/20161212034849%21Wizards2015.png,12544,7,SG,20,1,15,6.7,5,5,100,0,6,0,0,2,2,4,0,1,0,0,-18,
,,,,4036,Bilal,Coulibaly,41,Washington Wizards,Wizards,WAS,https://upload.wikimedia.org/wikipedia/fr/archive/d/d6/20161212034849%21Wizards2015.png,12544,2,SG,24,1,5,20,0,0,0,0,3,0,0,2,2,1,3,1,0,1,-26,
,,,,181,Danilo,Gallinari,41,Washington Wizards,Wizards,WAS,https://upload.wikimedia.org/wikipedia/fr/archive/d/d6/20161212034849%21Wizards2015.png,12544,11,PF,14,4,9,44.4,2,2,100,1,4,25,0,3,3,1,1,1,0,0,-11,
,,,,190,Taj,Gibson,41,Washington Wizards,Wizards,WAS,https://upload.wikimedia.org/wikipedia/fr/archive/d/d6/20161212034849%21Wizards2015.png,12544,0,F,8,0,2,0,0,0,0,0,0,0,1,1,2,0,1,0,0,1,+2,
,,,,2838,Eugene,Omoruyi,41,Washington Wizards,Wizards,WAS,https://upload.wikimedia.org/wikipedia/fr/archive/d/d6/20161212034849%21Wizards2015.png,12544,16,F,12,5,8,62.5,5,8,62.5,1,2,50,2,1,3,1,0,1,1,0,-9,
,,,,3413,Patrick,Baldwin Jr.,41,Washington Wizards,Wizards,WAS,https://upload.wikimedia.org/wikipedia/fr/archive/d/d6/20161212034849%21Wizards2015.png,12544,0,F,11,0,5,0,0,0,0,0,1,0,2,0,2,0,3,0,0,0,-24,
,,,,2825,Corey,Kispert,41,Washington Wizards,Wizards,WAS,https://upload.wikimedia.org/wikipedia/fr/archive/d/d6/20161212034849%21Wizards2015.png,12544,9,SF,19,4,6,66.7,0,0,0,1,3,33.3,1,3,4,2,3,0,1,0,-25,
,,,,384,Mike,Muscala,41,Washington Wizards,Wizards,WAS,https://upload.wikimedia.org/wikipedia/fr/archive/d/d6/20161212034849%21Wizards2015.png,12544,0,C,12,0,1,0,0,0,0,0,1,0,0,1,1,0,1,1,0,0,-9,
,,,,564,Delon,Wright,41,Washington Wizards,Wizards,WAS,https://upload.wikimedia.org/wikipedia/fr/archive/d/d6/20161212034849%21Wizards2015.png,12544,9,SG,15,4,5,80,0,1,0,1,1,100,1,0,1,2,0,1,0,0,-17,
,,,,2796,Jared,Butler,41,Washington Wizards,Wizards,WAS,https://upload.wikimedia.org/wikipedia/fr/archive/d/d6/20161212034849%21Wizards2015.png,12544,6,SG,12,2,5,40,2,2,100,0,1,0,0,3,3,3,0,2,2,0,-9,
,,,,1191,Xavier,Cooks,41,Washington Wizards,Wizards,WAS,https://upload.wikimedia.org/wikipedia/fr/archive/d/d6/20161212034849%21Wizards2015.png,12544,0,G,8,0,1,0,0,0,0,0,0,0,1,2,3,1,0,0,0,0,+2,
